"metric","p","design","clusters","estimator","se","df","t_crit","sig_gw","sig_season","mde_gw","mde_season"
"hold_fixedcap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.87618150522918,2,4.30265272974946,12.3752102047292,470.257987779711,15.4258613741356,586.182732217152
"hold_fixedcap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.87618150522918,5,2.57058183563631,7.39345993333524,280.951477466739,10.0382347473124,381.452920397872
"hold_fixedcap",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.87618150522918,2,4.30265272974946,12.3752102047292,470.257987779711,15.4258613741356,586.182732217152
"hold_fixedcap",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.87618150522918,8,2.30600413520417,6.63248644465623,252.034484896937,9.18909403584982,349.185573362293
"hold_fixedcap",0.678007139108077,"disjoint 2 x 19gw, clustered by season, p=0.68",3,"season-clustered",2.74310925961074,2,4.30265272974946,11.8026465438652,448.500568666877,14.7121532823747,559.06182473024
"hold_fixedcap",0.678007139108077,"disjoint 2 x 19gw as 6 clusters, p=0.68",6,"segment-clustered",2.74310925961074,5,2.57058183563631,7.05138683592115,267.952699765004,9.57379589411723,363.804243976455
"hold_fixedcap",0.678007139108077,"disjoint 3 x 13gw, clustered by season, p=0.68",3,"season-clustered",2.56976282394275,2,4.30265272974946,11.056797029246,420.158287111347,13.7824421075225,523.732800085854
"hold_fixedcap",0.678007139108077,"disjoint 3 x 13gw as 9 clusters, p=0.68",9,"segment-clustered",2.56976282394275,8,2.30600413520417,5.92588369850592,225.183580543225,8.21011893585601,311.984519562528
"hold_nocap",1,"current: 6 nested starts",3,"season-clustered",1.19862296081654,2,4.30265272974946,5.15725835429769,195.975817463312,6.4285899898166,244.286419613031
"hold_nocap",1,"disjoint 2 x 19gw, clustered by season, p=1.00",3,"season-clustered",2.40511867163218,2,4.30265272974946,10.3483904178696,393.238835879045,12.8994040012739,490.177352048407
"hold_nocap",1,"disjoint 2 x 19gw as 6 clusters, p=1.00",6,"segment-clustered",2.40511867163218,5,2.57058183563631,6.18255436984743,234.937066054202,8.39416628508788,318.978318833339
"hold_nocap",1,"disjoint 3 x 13gw, clustered by season, p=1.00",3,"season-clustered",2.40511867163218,2,4.30265272974946,10.3483904178696,393.238835879045,12.8994040012739,490.177352048407
"hold_nocap",1,"disjoint 3 x 13gw as 9 clusters, p=1.00",9,"segment-clustered",2.40511867163218,8,2.30600413520417,5.54621360244056,210.756116892741,7.68409837864015,291.995738388326
"hold_nocap",0.678007139108077,"disjoint 2 x 19gw, clustered by season, p=0.68",3,"season-clustered",2.29384108291567,2,4.30265272974946,9.86960159701857,375.044860686706,12.3025874740595,467.498324014262
