season,gw,team,xgc,clean_sheet,element,cf,def,xgc90,opponent,home,strength_cut,strength_end,difficulty_end,difficulty_pit,def_pit,def_moved,ambiguous
2020-21,10,17,1.4603048002082246,1,383,1,1.2,1.2169206668401873,5,0,1280,1280,4,4,1.2,0,0
2020-21,10,18,1.3571598000000002,1,417,1,0.85,1.5966585882352944,15,1,1070,1000,2,2,0.85,0,0
2020-21,10,19,1.098813737600378,0,431,1,0.85,1.2927220442357388,2,1,1150,1100,2,3,1.0,1,0
2020-21,10,20,1.3342414291021671,0,455,1,1.2,1.1118678575851393,1,0,1210,1250,4,3,1.0,1,0
2020-21,11,1,1.621096410947527,0,8,1,1.2,1.3509136757896059,17,0,1280,1250,4,4,1.2,0,0
2020-21,11,3,1.0826262916458436,0,66,1,0.85,1.2736779901715807,16,1,1150,1060,2,3,1.0,1,0
2020-21,11,4,1.5356381864923747,0,97,1,1.2,1.2796984887436456,7,1,1180,1250,4,3,1.0,1,0
2020-21,11,5,0.889424773518114,0,110,1,1,0.889424773518114,10,1,1100,1160,3,2,0.85,1,0
2020-21,11,6,1.128890869047619,0,128,1,0.85,1.3281069047619047,18,0,1030,1040,2,2,0.85,0,0
2020-21,11,7,1.156680615366893,0,156,1,0.85,1.3608007239610505,4,0,1080,1070,2,2,0.85,0,0
2020-21,11,8,1.9584303478991594,0,516,1,1.4,1.3988788199279711,12,0,1360,1360,5,5,1.4,0,0
2020-21,11,9,1.1117003735380118,0,217,1,0.85,1.307882792397661,15,0,1100,1040,2,2,0.85,0,0
2020-21,11,10,1.697373462585034,0,213,1,1.2,1.4144778854875284,5,0,1280,1280,4,4,1.2,0,0
2020-21,11,11,0.9857228731633273,1,255,1,0.85,1.159673968427444,20,1,1160,1080,2,3,1.0,1,0
2020-21,11,12,0.8154289258222077,1,278,1,0.85,0.9593281480261268,8,1,1000,1090,2,2,0.85,0,0
2020-21,11,13,1.2804810501547987,0,298,1,1.2,1.0670675417956657,19,0,1170,1260,4,3,1.0,1,0
2020-21,11,15,1.7461654070175439,0,351,1,1.2,1.4551378391812866,9,1,1220,1240,4,4,1.2,0,0
2020-21,11,16,1.2562898015873014,0,363,1,1,1.2562898015873014,3,0,1100,1130,3,2,0.85,1,0
2020-21,11,17,1.1990652409046214,1,383,1,1,1.1990652409046214,1,1,1190,1200,3,3,1.0,0,0
2020-21,11,18,1.4495911776643993,0,417,1,0.85,1.7054013854875285,6,1,1110,1090,2,3,1.0,1,0
2020-21,11,19,1.6114986501338375,0,431,1,1.2,1.342915541778198,13,1,1230,1250,4,4,1.2,0,0
2020-21,11,20,1.1053340321637426,0,455,1,1,1.1053340321637426,11,0,1360,1210,3,5,1.4,1,0
2020-21,12,1,1.1038960362937353,0,8,1,0.85,1.2987012191691003,4,1,1050,1060,2,2,0.85,0,0
2020-21,12,2,1.1983787494270435,1,12,1,1,1.1983787494270435,20,0,1190,1110,3,3,1.0,0,0
2020-21,12,4,1.5900553539094648,1,97,1,1.2,1.3250461282578874,1,0,1210,1250,4,3,1.0,1,0
2020-21,12,5,0.892583063878219,0,110,1,1,0.892583063878219,7,0,1210,1130,3,3,1.0,0,0
2020-21,12,6,1.2856342781954888,0,128,1,1,1.2856342781954888,17,1,1270,1190,3,4,1.2,1,0
2020-21,12,7,1.5893984861872992,1,156,1,1.2,1.324498738489416,5,1,1260,1250,4,4,1.2,0,0
2020-21,12,8,1.7881671619937698,0,516,1,1.2,1.4901393016614748,11,1,1320,1250,4,4,1.2,0,0
2020-21,12,9,1.2531053822714682,1,217,1,1,1.2531053822714682,3,1,1080,1130,3,2,0.85,1,0
2020-21,12,10,1.8999390587309395,0,213,1,1.2,1.5832825489424496,19,1,1140,1230,4,3,1.0,1,0
2020-21,12,11,0.9485466035231522,0,255,1,0.85,1.1159371806154732,8,0,1020,1100,2,2,0.85,0,0
2020-21,12,12,1.104843901096277,1,278,1,1.2,0.9207032509135642,13,0,1230,1320,4,4,1.2,0,0
2020-21,12,13,1.367720947368421,1,298,1,1.2,1.139767456140351,12,1,1310,1340,4,4,1.2,0,0
2020-21,12,15,1.2305002231301938,0,351,1,0.85,1.44764732132964,16,0,1180,1100,2,3,1.0,1,0
2020-21,12,16,1.095232534962406,1,363,1,0.85,1.288508864661654,15,1,1070,1000,2,2,0.85,0,0
2020-21,12,17,1.1647373861201678,0,383,1,1,1.1647373861201678,6,0,1150,1110,3,3,1.0,0,0
2020-21,12,18,1.4435641455484505,0,417,1,0.85,1.6983107594687654,14,0,1130,1070,2,3,1.0,1,0
2020-21,12,19,1.3586474606319767,0,431,1,1,1.3586474606319767,10,0,1130,1170,3,3,1.0,0,0
2020-21,12,20,0.9556212943213294,0,455,1,0.85,1.1242603462603875,2,1,1150,1100,2,3,1.0,1,0
2020-21,13,1,1.0808025894790485,0,8,1,0.85,1.2715324582106453,16,1,1150,1060,2,3,1.0,1,0
2020-21,13,2,1.0114966349567098,1,12,1,0.85,1.189996041125541,4,1,1050,1060,2,2,0.85,0,0
2020-21,13,3,0.9974588085648025,1,74,1,0.85,1.173480951252709,8,0,1020,1100,2,2,0.85,0,0
2020-21,13,4,1.3449363320337882,1,97,1,1,1.3449363320337882,2,0,1160,1160,3,3,1.0,0,0
2020-21,13,5,0.9046736394635758,0,110,1,1,0.9046736394635758,20,0,1190,1110,3,3,1.0,0,0
2020-21,13,6,1.5438621771428573,0,128,1,1.2,1.2865518142857144,19,0,1170,1260,4,3,1.0,1,0
2020-21,13,7,1.5653971818779342,1,156,1,1.2,1.3044976515649451,9,0,1240,1260,4,4,1.2,0,0
2020-21,13,8,1.4938306711650924,1,516,1,1,1.4938306711650924,3,1,1080,1130,3,2,0.85,1,0
2020-21,13,9,1.4721796357894736,0,217,1,1.2,1.2268163631578948,7,1,1180,1250,4,3,1.0,1,0
2020-21,13,10,1.343275814465812,0,213,1,0.85,1.5803244876068376,14,1,1100,1050,2,2,0.85,0,0
2020-21,13,11,1.1407855715846995,0,255,1,1,1.1407855715846995,17,1,1270,1190,3,4,1.2,1,0
2020-21,13,12,0.7657241783672385,0,278,1,0.85,0.9008519745496923,18,1,1010,1050,2,2,0.85,0,0
2020-21,13,13,0.9716346067867038,0,298,1,0.85,1.1430995373961221,15,0,1100,1040,2,2,0.85,0,0
2020-21,13,14,1.256366092217724,0,325,1,1,1.256366092217724,10,0,1130,1170,3,3,1.0,0,0
2020-21,13,15,1.7762318463157893,0,351,1,1.2,1.480193205263158,13,1,1230,1250,4,4,1.2,0,0
2020-21,13,16,1.4809784057142854,0,363,1,1.2,1.2341486714285712,1,0,1210,1250,4,3,1.0,1,0
2020-21,13,17,1.1912259668141592,0,383,1,1,1.1912259668141592,11,0,1360,1210,3,5,1.4,1,0
2020-21,13,18,2.308788772649573,0,417,1,1.4,1.649134837606838,12,0,1360,1360,5,5,1.4,0,0
2020-21,13,19,1.1582705094603214,0,431,1,0.85,1.362671187600378,6,1,1110,1090,2,3,1.0,1,0
2020-21,13,20,1.351592614736842,0,455,1,1.2,1.1263271789473683,5,1,1260,1250,4,4,1.2,0,0
2020-21,14,1,1.2596734840101385,0,8,1,1,1.2596734840101385,7,0,1210,1130,3,3,1.0,0,0
2020-21,14,2,0.9712780331168831,1,12,1,0.85,1.142680038961039,18,0,1030,1040,2,2,0.85,0,0
2020-21,14,4,1.1569046681172839,0,97,1,0.85,1.3610643154320987,20,1,1160,1080,2,3,1.0,1,0
2020-21,14,5,1.0690201889884763,1,110,1,1.2,0.890850157490397,19,1,1140,1230,4,3,1.0,1,0
2020-21,14,6,1.4939412163265307,0,128,1,1.2,1.2449510136054422,11,1,1320,1250,4,4,1.2,0,0
2020-21,14,7,1.2790763348237575,0,156,1,1,1.2790763348237575,1,1,1190,1200,3,3,1.0,0,0
2020-21,14,8,1.22084677742126,0,516,1,0.85,1.436290326377953,14,0,1130,1070,2,3,1.0,1,0
2020-21,14,9,1.518590357894737,1,217,1,1.2,1.2654919649122809,17,0,1280,1250,4,4,1.2,0,0
2020-21,14,10,1.8784078015748031,0,213,1,1.2,1.5653398346456693,13,0,1230,1320,4,4,1.2,0,0
2020-21,14,11,1.1527896872235233,1,255,1,1,1.1527896872235233,6,0,1150,1110,3,3,1.0,0,0
2020-21,14,12,0.7356470569488766,1,278,1,0.85,0.8654671258222078,16,0,1180,1100,2,3,1.0,1,0
2020-21,14,13,1.142686960526316,0,298,1,1,1.142686960526316,10,1,1100,1160,3,2,0.85,1,0
2020-21,14,14,1.1272207649212598,0,325,1,0.85,1.3261420763779528,8,1,1000,1090,2,2,0.85,0,0
2020-21,14,15,1.4878720050125314,0,351,1,1,1.4878720050125314,3,0,1100,1130,3,2,0.85,1,0
2020-21,14,16,1.4451640244897959,0,363,1,1.2,1.2043033537414967,12,1,1310,1340,4,4,1.2,0,0
2020-21,14,17,1.4253350477876106,0,383,1,1.2,1.1877792064896755,9,1,1220,1240,4,4,1.2,0,0
2020-21,14,18,1.4279406832583428,0,417,1,0.85,1.6799302155980504,2,1,1150,1100,2,3,1.0,1,0
2020-21,14,19,1.614618271543289,0,431,1,1.2,1.3455152262860743,5,0,1280,1280,4,4,1.2,0,0
2020-21,14,20,0.9700861210526315,0,455,1,0.85,1.141277789473684,4,0,1080,1070,2,2,0.85,0,0
2020-21,15,1,1.4763015907752495,0,8,1,1.2,1.2302513256460412,5,1,1260,1250,4,4,1.2,0,0
2020-21,15,2,0.9242308289610388,1,12,1,0.85,1.087330387012987,6,1,1110,1090,2,3,1.0,1,0
2020-21,15,3,1.387378281220909,0,74,1,1.2,1.1561485676840908,19,0,1170,1260,4,3,1.0,1,0
2020-21,15,4,1.360003109935332,0,97,1,1,1.360003109935332,10,0,1130,1170,3,3,1.0,0,0
2020-21,15,5,1.0326951514175966,0,110,1,1.2,0.8605792928479972,1,0,1210,1250,4,3,1.0,1,0
2020-21,15,6,1.2629405584415585,0,128,1,1,1.2629405584415585,2,0,1160,1160,3,3,1.0,0,0
2020-21,15,8,1.2147877336809176,1,516,1,0.85,1.429162039624609,16,1,1150,1060,2,3,1.0,1,0
2020-21,15,9,1.4991339961722487,0,217,1,1.2,1.2492783301435406,13,1,1230,1250,4,4,1.2,0,0
2020-21,15,10,1.4435204912408757,1,213,1,0.85,1.6982594014598538,4,1,1050,1060,2,2,0.85,0,0
2020-21,15,11,0.9527004553154497,0,255,1,0.85,1.1208240650769996,18,1,1010,1050,2,2,0.85,0,0
2020-21,15,12,0.7629084137608348,1,278,1,0.85,0.8975393103068645,14,1,1100,1050,2,2,0.85,0,0
2020-21,15,13,1.391745097744361,0,298,1,1.2,1.1597875814536343,9,0,1240,1260,4,4,1.2,0,0
2020-21,15,14,1.840781922141119,0,325,1,1.4,1.3148442301007994,12,0,1360,1360,5,5,1.4,0,0
2020-21,15,15,1.85126836937799,0,351,1,1.2,1.5427236411483252,7,1,1180,1250,4,3,1.0,1,0
2020-21,15,16,1.0181610415584414,1,363,1,0.85,1.1978365194805194,8,0,1020,1100,2,2,0.85,0,0
2020-21,15,17,1.206836697103781,0,383,1,1,1.206836697103781,20,0,1190,1110,3,3,1.0,0,0
2020-21,15,18,1.7162554014598541,0,417,1,1,1.7162554014598541,11,0,1360,1210,3,5,1.4,1,0
2020-21,15,19,1.3963466250912528,0,431,1,1,1.3963466250912528,3,1,1080,1130,3,2,0.85,1,0
2020-21,15,20,1.1397078444976076,0,455,1,1,1.1397078444976076,17,1,1270,1190,3,4,1.2,1,0
2020-21,16,1,1.2668020506179525,1,8,1,1,1.2668020506179525,3,0,1100,1130,3,2,0.85,1,0
2020-21,16,2,1.2872387851576994,0,12,1,1.2,1.0726989876314161,5,0,1280,1280,4,4,1.2,0,0
2020-21,16,6,1.6972584149068324,0,128,1,1.2,1.4143820124223603,9,1,1220,1240,4,4,1.2,0,0
2020-21,16,9,1.2782151418764303,0,217,1,1,1.2782151418764303,6,0,1150,1110,3,3,1.0,0,0
2020-21,16,10,1.434222266992014,1,213,1,0.85,1.6873203141082518,18,0,1030,1040,2,2,0.85,0,0
2020-21,16,11,0.936398339866952,1,255,1,0.85,1.1016451057258259,14,0,1130,1070,2,3,1.0,1,0
2020-21,16,13,0.9779109444976076,1,298,1,0.85,1.1504834641148325,20,1,1160,1080,2,3,1.0,1,0
2020-21,16,14,1.6676797213358068,1,325,1,1.2,1.3897331011131724,11,1,1320,1250,4,4,1.2,0,0
2020-21,16,15,1.273613801716247,0,351,1,0.85,1.4983691784897024,4,0,1080,1070,2,2,0.85,0,0
2020-21,16,16,1.4123847875776396,1,363,1,1.2,1.1769873229813663,19,1,1140,1230,4,3,1.0,1,0
2020-21,16,18,1.7008964445430348,0,417,1,1,1.7008964445430348,10,1,1100,1160,3,2,0.85,1,0
2020-21,16,19,1.1864944799654968,1,431,1,0.85,1.3958758587829374,16,0,1180,1100,2,3,1.0,1,0
2020-21,16,20,1.3277483258581233,0,455,1,1.2,1.1064569382151028,13,0,1230,1320,4,4,1.2,0,0
2020-21,17,1,1.0579256599825404,1,8,1,0.85,1.244618423508871,18,0,1030,1040,2,2,0.85,0,0
2020-21,17,2,1.30575047674144,0,12,1,1.2,1.0881253972845335,13,0,1230,1320,4,4,1.2,0,0
2020-21,17,3,1.054171878244573,0,66,1,0.85,1.2402022096994978,20,1,1160,1080,2,3,1.0,1,0
2020-21,17,5,1.0808898081713423,0,110,1,1.2,0.9007415068094519,12,1,1310,1340,4,4,1.2,0,0
2020-21,17,6,1.2081403913690476,1,128,1,0.85,1.421341636904762,15,1,1070,1000,2,2,0.85,0,0
2020-21,17,9,1.051668742653509,0,217,1,0.85,1.2372573442982457,14,0,1130,1070,2,3,1.0,1,0
2020-21,17,10,1.952431621612903,0,213,1,1.2,1.627026351344086,17,0,1280,1250,4,4,1.2,0,0
2020-21,17,11,0.9239956673724956,0,255,1,0.85,1.087053726320583,16,0,1180,1100,2,3,1.0,1,0
2020-21,17,13,0.9493492273455376,0,298,1,0.85,1.1168814439359267,2,1,1150,1100,2,3,1.0,1,0
2020-21,17,14,1.6501263877699857,0,325,1,1.2,1.3751053231416548,9,1,1220,1240,4,4,1.2,0,0
2020-21,17,17,1.1840280580992688,1,383,1,1,1.1840280580992688,10,1,1100,1160,3,2,0.85,1,0
2020-21,17,18,1.6824028096774195,0,417,1,1,1.6824028096774195,1,1,1190,1200,3,3,1.0,0,0
2020-21,17,20,1.1298728157894735,0,455,1,1,1.1298728157894735,3,0,1100,1130,3,2,0.85,1,0
