element,GW,expected_goals
84,32,0.018846
84,33,1.495256
84,35,0.143582
84,36,0.131535
84,38,0.394888
85,2,0.028784
85,3,0.045815
85,5,0.034468
85,6,0.025297
85,7,0.017636
85,8,0.022925
85,10,0.587423
85,13,0.011969
85,32,0.066918
85,38,0.016336
86,1,0.106827
86,2,0.123982
86,3,0.263306
86,4,0.104182
86,6,0.053529
86,9,0.045938
86,10,0.010154
86,11,0.040860
86,12,0.145809
86,13,0.031594
86,16,0.523819
86,17,0.760376
86,18,0.335767
86,19,1.700808
86,20,0.114110
86,21,0.072435
86,27,0.099355
86,30,0.550932
86,31,0.035395
86,33,0.304374
86,35,0.041242
86,37,0.572647
87,2,0.100043
87,5,0.017483
87,6,0.045901
87,8,0.733145
87,12,0.168967
87,23,0.026637
87,25,0.145581
87,26,0.015498
87,28,0.065392
87,29,0.021763
87,30,0.026293
87,31,0.094193
87,32,0.014354
87,33,0.177848
88,11,0.015744
88,12,0.012679
88,18,0.026638
90,2,0.043175
90,3,0.042156
90,4,0.050648
90,5,0.054433
90,7,0.082913
90,8,0.049451
90,9,0.150951
90,11,0.094395
90,12,0.044884
90,13,0.043306
90,15,0.048035
90,16,0.066251
90,18,0.272290
90,19,0.063514
90,21,0.016273
90,22,0.111134
90,23,0.101899
90,24,0.662824
90,25,0.149472
90,27,0.079888
90,28,0.390612
90,29,0.128342
90,30,0.009188
90,31,0.055910
90,32,0.332550
90,33,0.051402
90,35,0.035213
97,1,0.205178
97,3,0.615150
97,4,0.165238
97,5,0.082752
97,6,0.050163
97,7,0.552010
97,11,0.693007
97,12,0.628964
97,13,0.781935
97,15,0.812876
97,16,0.416462
97,18,0.132310
97,19,0.057646
97,20,0.356840
97,21,0.105536
97,22,0.603410
97,23,1.133062
97,25,0.627071
97,26,0.103243
97,28,0.372581
97,30,0.505132
97,31,0.081726
97,32,0.055845
97,33,0.857944
97,35,0.197245
97,36,0.073448
97,37,0.605971
97,38,0.048058
98,12,0.446003
98,13,0.049978
98,19,0.348650
98,21,0.175646
98,26,0.116561
98,28,0.332977
98,30,0.503499
98,35,0.037195
98,36,0.074105
98,38,0.062859
100,6,0.507701
100,8,0.907778
100,9,0.164314
100,10,0.185201
100,12,0.604672
100,16,0.356220
100,17,0.079029
100,20,0.018645
100,21,0.604553
100,22,0.081638
100,24,0.078289
100,25,0.402149
100,27,0.016425
100,28,0.173758
100,29,0.337984
100,30,0.223465
100,31,0.712034
100,32,0.799866
100,33,0.604637
100,35,0.931317
100,36,0.038878
100,37,0.154607
100,38,0.185805
106,1,0.012176
106,5,0.047170
106,6,0.266635
106,8,0.093563
106,9,0.080221
106,11,0.033888
106,13,0.880024
106,16,0.016765
106,19,0.092329
106,20,0.523980
106,24,0.039046
106,27,0.070504
106,31,0.023927
106,32,0.230217
106,33,0.198248
106,37,0.084240
107,1,0.059672
107,8,0.037139
107,12,0.017940
107,14,0.061263
107,16,0.072989
107,17,0.668597
107,19,0.143357
107,21,0.076217
107,22,0.029003
107,25,0.117893
107,26,0.475715
107,27,0.039602
107,30,0.052268
107,31,0.071355
107,32,0.011578
107,33,0.557932
107,34,0.069840
107,35,0.335298
107,37,0.047872
107,38,0.022292
108,4,0.080228
108,5,0.067868
108,8,0.108032
108,9,0.059747
108,10,0.404440
108,18,0.131632
108,24,0.112473
108,27,0.008488
109,3,0.020798
109,4,0.080468
109,15,0.015019
109,19,0.010620
109,24,0.007557
110,7,0.017355
110,9,0.067920
110,12,0.092738
110,18,0.044952
110,26,0.051387
110,30,0.370961
110,32,0.053977
110,34,0.379962
111,31,0.008488
113,1,0.196259
113,6,0.966212
113,8,0.090413
113,11,0.680912
113,12,0.032465
113,13,0.049742
113,14,0.012362
113,23,0.030165
113,26,0.060421
113,27,0.198857
113,28,0.140709
113,29,0.265463
113,30,0.128423
113,35,0.154923
113,37,0.069386
116,7,0.014677
116,11,0.103609
116,13,0.345765
116,22,0.029572
116,36,0.013971
119,1,0.357207
119,3,0.649324
119,4,0.654562
119,5,0.123692
119,7,0.116101
119,8,0.830370
119,9,0.820947
119,10,0.048374
119,11,0.354916
119,12,0.106153
119,13,0.693270
119,14,0.067049
119,15,0.926842
119,16,0.280872
119,22,0.835726
119,23,0.291116
119,24,0.339439
119,25,0.202858
119,26,0.093824
119,27,0.637685
119,29,0.383967
119,30,0.084983
119,31,0.013810
119,32,0.063398
119,35,0.304005
119,36,0.018931
119,37,2.140412
119,38,0.846407
120,2,0.071754
120,3,0.845159
120,4,0.325437
120,5,0.075789
120,6,0.024561
120,8,0.605051
120,9,0.559214
120,11,0.461515
120,12,0.031055
120,14,0.398831
120,17,0.440024
120,18,1.980998
120,20,0.390793
120,21,0.529598
120,22,0.536286
120,23,0.123501
120,24,0.041912
120,28,1.258568
120,29,0.244085
120,31,0.069512
120,32,0.603109
120,33,0.176020
120,37,0.129126
120,38,1.001310
121,2,0.031024
121,3,0.021442
121,5,0.385786
121,8,0.036591
121,9,0.062300
121,10,0.159313
121,13,0.119938
121,17,0.334330
121,21,0.117842
121,22,0.016983
121,27,0.249568
121,28,0.242749
121,30,0.092174
121,32,0.016003
121,33,0.287287
121,34,0.155919
121,35,0.373250
121,37,0.043287
123,1,0.037707
123,4,0.598860
124,2,0.027664
124,9,0.018544
124,10,0.013716
124,11,0.007908
124,16,0.441161
125,7,0.070654
125,10,0.046731
125,14,0.023567
125,18,0.017918
125,19,0.111820
125,20,0.010832
125,22,0.039345
125,23,0.067707
125,25,0.236862
125,27,0.066789
126,1,0.069360
126,6,0.050447
126,8,0.111375
126,11,0.028621
126,16,0.031325
126,18,0.016952
126,20,0.007751
126,21,0.099073
126,22,0.402449
126,24,0.032549
126,25,0.253631
126,27,0.032483
126,28,0.050675
126,29,0.022118
126,31,0.055262
126,32,0.070854
126,34,0.064858
126,35,0.014001
126,36,0.017704
126,38,0.034677
129,1,0.040398
129,2,0.021628
129,3,0.015872
129,6,0.069031
129,7,0.012279
129,11,0.058798
129,12,0.039684
129,18,0.141180
129,19,0.020679
129,21,0.586182
129,22,0.125061
129,23,0.115593
129,35,0.023200
130,22,0.031795
130,25,0.031024
130,28,0.033837
135,18,0.095604
135,19,1.239929
135,20,0.103470
135,21,0.142709
135,23,0.027010
135,25,0.598215
135,28,0.027669
135,34,0.429972
135,35,0.324712
136,1,0.816272
136,2,0.179352
136,3,0.342119
136,5,0.055715
136,6,0.858197
136,7,0.525470
136,8,1.608431
136,9,1.182705
136,11,1.089583
136,12,1.816824
136,13,1.629118
136,15,0.419376
136,18,0.199798
136,19,0.134740
136,20,1.883872
136,21,1.757363
136,22,0.151327
136,23,0.580928
136,25,0.702664
136,26,1.028135
136,27,0.340032
136,28,0.486190
136,30,1.641047
136,31,0.050449
136,32,0.928029
136,33,0.429304
136,35,1.155670
136,36,0.586862
136,37,0.122636
136,38,0.089871
143,22,0.019123
145,6,0.448356
145,7,0.020750
145,8,0.043759
145,9,0.025158
145,13,0.372959
145,14,0.044272
145,17,0.042095
145,19,0.037367
145,20,0.065144
145,25,0.367897
145,37,0.118568
145,38,0.021625
146,1,0.028415
146,3,0.037512
146,5,0.014520
146,6,0.094602
146,7,0.061771
146,8,0.013290
146,9,0.075373
146,15,0.030499
146,19,0.014403
146,20,0.063191
146,22,0.054437
146,23,0.128939
146,25,0.121739
146,27,0.034356
146,30,0.063587
146,36,0.320909
146,37,0.076588
148,5,0.072133
148,7,0.095995
148,9,0.038659
148,12,0.036852
148,13,0.117972
148,16,0.042069
148,17,0.059706
148,19,0.087119
148,21,0.270034
148,22,0.030537
148,23,0.258710
148,26,0.013939
148,27,0.014700
148,28,0.036672
148,30,0.059646
148,31,0.023183
148,32,0.015522
148,33,0.531520
148,37,0.035290
148,38,0.024130
151,2,0.020320
151,3,0.567387
151,6,0.031489
151,7,0.049894
151,10,0.109011
151,11,0.035805
151,14,1.223473
151,15,0.047998
151,20,0.078928
151,21,0.010449
151,22,0.066260
151,23,0.069100
151,30,0.089786
151,31,0.038729
151,33,0.140651
151,37,0.521153
152,19,0.739215
152,20,0.087107
152,22,0.052580
152,37,0.103576
157,1,0.074546
157,2,0.070587
157,3,0.097271
157,4,0.153090
157,5,0.198691
157,16,0.273748
157,19,0.086225
157,21,0.126301
157,22,0.050408
157,23,0.269396
157,24,0.391707
157,26,0.132875
157,27,0.392011
157,28,0.440528
157,29,0.281565
157,31,0.281203
157,33,0.472836
157,35,0.082421
157,36,0.545668
158,1,0.051178
158,3,0.064907
158,7,0.178160
158,8,0.036363
158,10,0.026756
158,12,0.034938
158,13,0.442144
158,15,0.599911
158,16,0.013913
158,17,0.217567
158,19,0.123075
158,20,0.273663
158,22,0.025383
158,24,0.065031
158,25,0.023863
158,29,0.087849
158,32,0.027192
158,33,0.193631
158,37,0.141897
158,38,0.080376
159,38,0.052153
160,1,0.130530
160,2,0.032247
160,3,0.133181
160,4,0.322668
160,5,0.627860
160,6,0.185543
160,7,0.012318
160,8,0.162482
160,9,0.038494
160,10,0.277955
160,11,0.116048
160,12,0.189874
160,13,0.016140
160,14,0.084259
160,15,0.050259
160,16,0.135394
160,18,0.060578
160,19,0.151009
160,22,0.026952
160,23,0.041368
160,24,0.036404
160,30,0.040525
160,31,0.507411
160,32,0.094137
160,33,0.052085
160,35,0.510783
160,36,0.350679
162,1,0.289507
162,2,0.060141
162,3,0.435959
162,5,0.032976
162,7,0.563444
162,14,0.031775
162,15,0.007325
162,16,0.050329
162,17,0.106876
162,20,0.036478
162,22,0.021415
163,12,0.042119
163,14,0.193200
163,18,0.052378
163,22,0.313788
163,26,0.119499
163,27,0.067448
163,28,0.298607
163,29,0.154610
163,30,0.427186
163,31,0.027154
163,32,0.240305
163,33,1.001597
163,35,0.799435
163,36,0.446109
163,37,0.212573
164,1,0.702664
164,2,0.349456
166,2,0.149460
166,5,0.191759
166,6,0.044099
166,7,0.026825
166,8,0.104222
166,9,0.068309
166,10,0.216067
166,11,0.016634
166,13,0.062928
166,16,0.052013
166,17,0.355226
166,18,0.187666
166,19,0.118947
166,20,0.123658
166,23,0.071334
166,31,0.116517
166,33,0.049491
167,1,0.017787
167,4,0.021597
167,6,0.011925
167,8,0.032067
167,9,0.027118
167,10,0.009830
167,12,0.009867
167,16,0.060866
167,22,0.075654
167,23,0.043189
167,29,0.049186
167,35,0.034577
167,36,0.086452
167,37,0.021224
167,38,0.027943
168,23,0.040922
168,38,0.028403
169,1,0.022756
169,5,0.025529
169,6,0.076808
169,7,0.090241
169,9,0.030987
169,10,1.210176
169,11,0.419587
169,12,0.019613
169,13,0.296930
169,15,0.141835
169,16,0.809687
169,18,0.291502
169,19,0.053817
169,20,0.084392
169,21,0.698734
169,22,0.058307
169,27,0.072908
169,28,0.049392
169,30,0.132552
169,31,0.531656
169,32,0.046090
169,37,0.592883
169,38,0.168091
170,3,0.702664
170,17,0.020600
170,19,0.016789
170,26,0.077809
170,27,0.032328
170,31,0.053955
172,9,0.022806
173,1,0.012009
173,7,0.065417
173,8,0.034280
173,12,0.029812
173,13,0.183906
173,15,0.561786
173,16,0.062922
173,18,0.082292
173,28,0.048498
173,29,0.275366
173,30,0.132461
173,31,0.143235
173,32,0.147304
178,2,1.242414
178,4,0.079536
178,5,0.133232
178,6,1.303912
178,8,0.366397
178,9,0.181763
178,10,0.588468
178,12,0.542565
178,13,0.080344
178,14,0.162570
178,15,0.051789
178,19,1.423742
178,23,0.969019
178,24,0.612849
178,26,0.031997
178,27,0.575582
178,28,0.216795
178,30,0.041733
178,31,1.456758
178,32,0.418886
178,33,0.784881
178,35,0.154982
178,36,0.166814
178,37,0.154278
180,6,0.104224
180,7,0.119809
180,9,0.025853
180,13,0.327081
181,9,0.339832
181,14,0.073477
181,15,0.456137
181,16,0.059203
181,17,0.046545
181,20,0.507403
181,22,0.070203
181,25,0.177908
181,33,0.098814
181,35,0.081856
181,37,0.045528
181,38,0.126602
187,1,0.012759
187,6,0.019242
187,7,0.042358
187,35,0.011531
190,4,0.007050
190,5,0.417795
190,15,0.017545
190,18,0.048669
190,33,0.070404
191,1,0.041828
191,5,0.068232
191,6,0.017460
191,16,0.061613
191,24,0.018001
191,27,0.091166
191,28,0.083959
191,33,0.034637
192,3,0.030351
192,5,0.009082
192,6,0.019040
192,9,0.012480
192,12,0.017410
192,13,0.020483
192,31,0.013376
192,33,0.226230
193,18,0.109675
193,23,0.035864
193,25,0.007263
193,26,0.030842
193,30,0.226894
193,32,0.018899
193,35,0.056259
195,17,0.042279
195,18,0.033024
195,19,0.112595
195,20,0.053960
195,21,0.040712
195,22,0.055706
195,24,0.066248
195,29,0.035081
195,38,0.393662
197,1,0.015591
197,16,0.261886
197,20,0.068979
198,23,0.515358
199,28,0.035172
200,1,0.196671
200,2,0.713746
200,3,0.591665
200,4,0.135694
200,5,0.363146
200,6,0.097315
200,9,0.055715
200,11,0.056564
200,12,0.128922
200,14,0.066698
200,20,0.045404
200,21,0.084521
200,22,0.290446
200,23,0.034067
200,24,0.010447
200,25,0.080152
200,26,0.117537
200,27,0.083807
200,28,0.234611
200,29,0.024703
200,30,0.429173
200,31,0.102573
200,32,0.391681
200,33,0.130719
200,35,0.115941
200,36,0.462763
200,37,0.014793
200,38,0.077288
202,2,0.066011
202,3,0.038730
202,8,0.038167
202,9,0.030153
202,11,0.078102
202,14,0.083705
202,15,0.052578
202,16,0.293659
202,18,0.470942
202,26,0.038094
202,27,0.090836
202,38,0.041067
205,2,0.047241
205,7,0.018153
205,9,0.049097
205,11,0.650746
205,14,0.035586
205,15,0.024195
205,16,0.034824
205,17,0.018314
205,18,0.058114
206,10,0.054876
206,11,0.050444
206,14,0.149465
206,16,0.019106
206,19,0.562857
206,21,0.090955
206,22,0.142507
206,25,0.708550
206,27,0.227315
206,30,0.028879
206,32,0.045953
206,38,0.027087
207,1,0.037513
207,2,0.016177
207,3,0.102145
207,11,0.005543
207,13,0.039065
207,21,0.026721
207,25,0.013411
207,26,0.077221
207,27,0.032195
207,28,0.028628
207,30,0.036322
207,35,0.013998
207,36,0.029350
207,37,0.085396
