season,element,club,minutes,exposure,tercile,act90,rec90_fpl,rec90_ust
2025-26,684,15,2963.0,0.058386770,0,1.494735066,1.413165710,1.475728767
2025-26,685,4,1275.0,0.082352941,1,1.586117647,1.546172549,1.411577395
2025-26,694,17,2773.0,0.058781103,1,1.451099892,1.485827624,1.602555454
2025-26,695,20,1812.0,0.304635762,2,1.523841060,1.406211369,1.540867803
2025-26,706,11,1892.0,0.191331924,1,1.570243129,1.576612051,1.511906163
2025-26,709,20,2356.0,0.197792869,1,1.539091681,1.568132428,1.666233047
2025-26,713,4,2312.0,0.455017301,2,1.600302768,1.647716263,1.536772902
2025-26,716,16,1025.0,0.209756098,1,1.320585366,1.446673171,1.495474174
2025-26,719,2,936.0,0.230769231,2,1.531730769,1.510737179,1.502445462
2025-26,723,8,1323.0,0.183673469,1,1.621768707,1.539138322,1.646502937
2025-26,724,17,1671.0,0.245960503,2,1.665350090,1.623363256,1.691500945
2025-26,725,1,1769.0,0.287733183,2,0.891859808,1.009137931,1.013458503
2025-26,733,14,2880.0,0.000000000,0,1.226562500,1.215468750,1.177299672
2025-26,736,13,3060.0,0.000000000,0,1.132352941,1.168823529,1.177962809
2025-26,815,19,1254.0,0.066985646,1,1.330622010,1.336411483,1.376532713
