sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,21,18,5,false,1116,1047,15,0,62,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,,55,0f4f24f82c7f,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,21,18,5,false,1178,950,18,4,65.44444444444444,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,,55,0f8336277f6d,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2020-21,2019-20,26,13,5,false,748,638,13,2,57.53846153846154,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,0,0,0,0,,55,d47cf2db42a3,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2021-22,2020-21,26,13,5,false,768,636,22,10,59.07692307692308,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,0,0,0,0,,55,1283622164da,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2022-23,2021-22,26,13,5,false,865,812,19,6,66.53846153846153,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,0,0,0,0,,55,485d7e3d0d70,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2023-24,2022-23,26,13,5,false,870,620,16,5,66.92307692307692,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,0,0,0,0,,55,72c93b86408c,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2024-25,2023-24,26,13,5,false,741,710,12,0,57,54.61538461538461,,,,,,,710,54.61538461538461,637,49,0,0,0,0,,55,ab53d0f632bd,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergate] perfect on POINTS,1,false,2025-26,2024-25,26,13,5,false,819,761,16,6,63,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,0,0,0,0,,55,e2397dc452c0,decision:transfergate,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2020-21,2019-20,1,38,5,false,2229,1711,45,9,58.6578947368421,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,0,0,0,0,,55,2aadee614ec1,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2021-22,2020-21,1,38,5,false,2292,1942,48,12,60.31578947368421,51.10526315789474,,,,,,,1987,52.28947368421053,1692,44.526315789473685,0,0,0,0,,55,2ee4dc9e44a7,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2022-23,2021-22,1,38,5,false,2129,1842,46,8,56.026315789473685,48.473684210526315,,,,,,,1845,48.55263157894737,1582,41.63157894736842,0,0,0,0,,55,fe5b3efc1102,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2023-24,2022-23,1,38,5,false,2344,1809,52,14,61.68421052631579,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,,55,7df5f95f1759,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2024-25,2023-24,1,38,5,false,2366,1847,41,5,62.26315789473684,48.60526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,,55,5062709cbae7,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2025-26,2024-25,1,38,5,false,2318,1514,47,10,61,39.8421052631579,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,,55,cdb305de770a,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2020-21,2019-20,6,33,5,false,1849,1634,43,12,56.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,,55,347628e26f13,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2021-22,2020-21,6,33,5,false,1984,1513,46,14,60.121212121212125,45.84848484848485,,,,,,,1536,46.54545454545455,1291,39.121212121212125,0,0,0,0,,55,eb89dd66c059,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2022-23,2021-22,6,33,5,false,1885,1563,42,9,57.121212121212125,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,,55,1319d3d56d73,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2023-24,2022-23,6,33,5,false,2167,1662,40,8,65.66666666666667,50.36363636363637,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,,55,e4d98525659c,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2024-25,2023-24,6,33,5,false,2025,1762,39,8,61.36363636363637,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,,55,5f44285da178,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2025-26,2024-25,6,33,5,false,1908,1742,33,4,57.81818181818182,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,,55,0dc2d2b17e58,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2020-21,2019-20,11,28,5,false,1668,1389,39,13,59.57142857142857,49.607142857142854,,,,,,,1387,49.535714285714285,1212,43.285714285714285,0,0,0,0,,55,dac65f49e6c3,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2021-22,2020-21,11,28,5,false,1716,1604,35,8,61.285714285714285,57.285714285714285,,,,,,,1632,58.285714285714285,1444,51.57142857142857,0,0,0,0,,55,b9a408253035,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2022-23,2021-22,11,28,5,false,1679,1548,41,13,59.964285714285715,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,,55,f82a462d3eb2,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2023-24,2022-23,11,28,5,false,1705,1424,41,13,60.892857142857146,50.857142857142854,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,55,025d70cb5565,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2024-25,2023-24,11,28,5,false,1792,1704,27,2,64,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,,55,d7639030dcde,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2025-26,2024-25,11,28,5,false,1673,1489,31,4,59.75,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,,55,b5c18c2f39b5,decision:transfergatexp,decision
GATEXP2#1,1786749796-1052671,ORACLE[decision:transfergatexp] perfect on UNDERLYING,2,false,2020-21,2019-20,16,23,5,false,1412,1189,30,7,61.391304347826086,51.69565217391305,,,,,,,1155,50.21739130434783,1042,45.30434782608695,0,0,0,0,,55,38103e5146cf,decision:transfergatexp,decision
