season,arm,gw,gross,net
2024-25,baseline,19,85,85
2024-25,baseline,20,77,77
2024-25,baseline,21,57,57
2024-25,baseline,22,43,43
2024-25,baseline,23,60,60
2024-25,baseline,24,109,109
2024-25,baseline,25,98,98
2024-25,baseline,26,68,68
2024-25,baseline,27,65,65
2024-25,baseline,28,60,60
2024-25,baseline,29,46,46
2024-25,baseline,30,54,54
2024-25,baseline,31,29,29
2024-25,baseline,32,72,72
2024-25,baseline,33,69,69
2024-25,baseline,34,48,48
2024-25,baseline,35,62,62
2024-25,baseline,36,32,32
2024-25,baseline,37,39,39
2024-25,baseline,38,58,58
2024-25,ownership,1,54,54
2024-25,ownership,2,69,69
2024-25,ownership,3,56,56
2024-25,ownership,4,56,56
2024-25,ownership,5,64,64
2024-25,ownership,6,56,56
2024-25,ownership,7,79,79
2024-25,ownership,8,41,41
2024-25,ownership,9,80,80
2024-25,ownership,10,43,43
2024-25,ownership,11,39,39
2024-25,ownership,12,47,47
2024-25,ownership,13,89,89
2024-25,ownership,14,40,40
2024-25,ownership,15,79,79
2024-25,ownership,16,55,55
2024-25,ownership,17,38,38
2024-25,ownership,18,55,55
2024-25,ownership,19,85,81
2024-25,ownership,20,70,70
2024-25,ownership,21,70,70
2024-25,ownership,22,46,46
2024-25,ownership,23,67,67
2024-25,ownership,24,120,120
2024-25,ownership,25,84,84
2024-25,ownership,26,82,82
2024-25,ownership,27,63,63
2024-25,ownership,28,63,63
2024-25,ownership,29,58,54
2024-25,ownership,30,47,43
2024-25,ownership,31,40,40
2024-25,ownership,32,70,70
2024-25,ownership,33,62,62
2024-25,ownership,34,59,59
2024-25,ownership,35,49,49
2024-25,ownership,36,55,55
2024-25,ownership,37,45,45
2024-25,ownership,38,69,69
2024-25,price,1,54,54
2024-25,price,2,69,69
2024-25,price,3,56,56
2024-25,price,4,56,56
2024-25,price,5,64,64
2024-25,price,6,56,56
2024-25,price,7,79,79
2024-25,price,8,41,41
2024-25,price,9,80,80
2024-25,price,10,43,43
2024-25,price,11,39,39
2024-25,price,12,47,47
2024-25,price,13,89,89
2024-25,price,14,40,40
2024-25,price,15,79,79
2024-25,price,16,55,55
2024-25,price,17,38,38
2024-25,price,18,55,55
2024-25,price,19,85,81
2024-25,price,20,70,70
2024-25,price,21,70,70
2024-25,price,22,46,46
2024-25,price,23,67,67
2024-25,price,24,120,120
2024-25,price,25,84,84
2024-25,price,26,82,82
2024-25,price,27,63,63
2024-25,price,28,63,63
2024-25,price,29,58,54
2024-25,price,30,47,43
2024-25,price,31,40,40
2024-25,price,32,70,70
2024-25,price,33,62,62
2024-25,price,34,59,59
2024-25,price,35,49,49
2024-25,price,36,55,55
2024-25,price,37,45,45
2024-25,price,38,69,69
2025-26,baseline,1,68,68
2025-26,baseline,2,45,45
2025-26,baseline,3,70,70
2025-26,baseline,4,69,69
2025-26,baseline,5,45,45
2025-26,baseline,6,40,40
2025-26,baseline,7,72,72
2025-26,baseline,8,77,77
2025-26,baseline,9,57,57
2025-26,baseline,10,79,79
2025-26,baseline,11,37,37
2025-26,baseline,12,48,48
2025-26,baseline,13,45,45
2025-26,baseline,14,74,74
2025-26,baseline,15,68,68
2025-26,baseline,16,61,61
2025-26,baseline,17,67,67
2025-26,baseline,18,24,24
2025-26,baseline,19,41,41
2025-26,baseline,20,45,45
2025-26,baseline,21,49,49
2025-26,baseline,22,41,41
2025-26,baseline,23,41,41
2025-26,baseline,24,54,54
2025-26,baseline,25,61,61
2025-26,baseline,26,75,75
2025-26,baseline,27,48,48
2025-26,baseline,28,86,86
2025-26,baseline,29,81,77
2025-26,baseline,30,48,48
2025-26,baseline,31,39,39
2025-26,baseline,32,53,53
2025-26,baseline,33,49,49
2025-26,baseline,34,45,45
2025-26,baseline,35,44,44
2025-26,baseline,36,70,70
2025-26,baseline,37,58,58
2025-26,baseline,38,67,67
2025-26,ownership,1,73,73
2025-26,ownership,2,50,50
2025-26,ownership,3,60,60
2025-26,ownership,4,67,67
2025-26,ownership,5,46,46
2025-26,ownership,6,31,31
2025-26,ownership,7,76,76
2025-26,ownership,8,79,79
2025-26,ownership,9,55,55
2025-26,ownership,10,86,86
2025-26,ownership,11,37,37
