season,gw,team,xgc,clean_sheet,element
2020-21,18,17,1.1789551390117994,0,383
2020-21,18,20,1.1746192631578944,0,455
2020-21,19,1,1.2049648140081888,1,8
2020-21,19,3,1.3147013129235379,1,66
2020-21,19,6,1.3345339725274725,0,128
2020-21,19,15,1.4909363326403329,0,483
2020-21,19,16,1.1291181152542373,0,375
2020-21,19,17,1.1705041334513273,0,383
2020-21,19,20,1.1408706376518216,0,455
2020-21,20,1,1.1700197653412185,0,8
2020-21,20,2,1.1446257096103896,0,12
2020-21,20,3,1.2727998778110943,1,66
2020-21,20,4,1.3011756252631577,0,96
2020-21,20,6,1.3647585846560848,0,128
2020-21,20,7,1.2466886242702113,0,156
2020-21,20,8,1.4005456808648649,1,516
2020-21,20,9,1.159785028265107,0,217
2020-21,20,10,1.6237361188705166,0,200
2020-21,20,11,1.0572985159886663,0,255
2020-21,20,12,0.8316155606577662,1,278
2020-21,20,13,1.0956625448343078,0,298
2020-21,20,14,1.3949088341341342,0,325
2020-21,20,15,1.4794014684684684,0,483
2020-21,20,17,1.1600473590878146,0,383
2020-21,20,18,1.7613296162162162,0,417
2020-21,20,19,1.3362303514376128,0,435
2020-21,20,20,1.1487557251461986,1,455
2020-21,21,1,1.1620328451504611,1,8
2020-21,21,2,1.1259611823176823,1,12
2020-21,21,3,1.2431225119662388,1,66
2020-21,21,4,1.3509669089068825,0,96
2020-21,21,5,0.9768466948717948,1,548
2020-21,21,6,1.4302145994897961,1,128
2020-21,21,7,1.225813169805349,0,156
2020-21,21,8,1.4261746414201182,0,516
2020-21,21,9,1.1339488843984962,0,217
2020-21,21,10,1.6004610683924265,0,200
2020-21,21,11,1.0229694618462142,0,255
2020-21,21,12,0.8207484237093905,1,278
2020-21,21,13,1.0791567396616542,1,298
2020-21,21,14,1.3695150063186812,1,325
2020-21,21,15,1.4591506660231663,0,483
2020-21,21,16,1.2227661895604396,0,363
2020-21,21,17,1.2053036420845622,0,383
2020-21,21,18,1.7711870621082622,0,417
2020-21,21,19,1.3091473031719838,0,435
2020-21,21,20,1.129493342105263,0,455
2020-21,22,2,1.1666139533429534,0,12
2020-21,22,3,1.2109483151103018,1,66
2020-21,22,4,1.3499463196881092,0,96
2020-21,22,5,0.950402432,1,548
2020-21,22,6,1.3951815443349755,0,128
2020-21,22,8,1.4055978074074074,0,516
2020-21,22,9,1.1523178194192376,1,217
2020-21,22,10,1.598914735400123,0,200
2020-21,22,11,1.0156699631618618,0,255
2020-21,22,12,0.7956087043127464,1,278
2020-21,22,13,1.0656146451905626,1,298
2020-21,22,14,1.3514033551724138,0,325
2020-21,22,15,1.4573422982292639,0,483
2020-21,22,16,1.2047755158730158,0,363
2020-21,22,17,1.2204598334386851,0,383
2020-21,22,18,1.7562747428571432,0,417
2020-21,22,19,1.3292045685798464,0,435
2020-21,22,20,1.1355678820326678,0,455
2020-21,23,2,1.1838183121521337,1,12
2020-21,23,4,1.3727909511278196,0,96
2020-21,23,5,0.935552331348102,0,548
2020-21,23,6,1.4075468595238096,0,128
2020-21,23,8,1.4130727362518092,1,516
2020-21,23,9,1.13630215877193,1,217
2020-21,23,10,1.6089460028516864,1,200
2020-21,23,12,0.7687990720158626,0,278
2020-21,23,13,1.0456477903508772,0,298
2020-21,23,14,1.3325122371683553,0,325
2020-21,23,15,1.4789354882882884,0,483
2020-21,23,16,1.3269174260204082,0,363
2020-21,23,17,1.2543108046994202,1,383
2020-21,23,18,1.740540779829333,0,417
2020-21,23,19,1.3075948162938515,1,435
2020-21,23,20,1.1198644192982454,1,455
2020-21,24,1,1.1789040786196052,0,8
2020-21,24,2,1.1645993703537842,1,12
2020-21,24,6,1.4414407350230418,0,128
2020-21,24,9,1.1398059278438029,0,217
2020-21,24,10,1.565872971669466,0,200
2020-21,24,11,1.0956974956366594,0,255
2020-21,24,13,1.0580636358234294,0,298
2020-21,24,14,1.3321087851607805,0,325
2020-21,24,15,1.4798736660854404,0,483
2020-21,24,16,1.3100079285714283,0,363
2020-21,24,17,1.233896944542773,0,383
2020-21,24,18,1.7428950279994735,0,417
2020-21,24,19,1.3133439512521141,1,435
2020-21,24,20,1.1029512767402376,0,455
2020-21,25,1,1.1636124557124365,0,8
2020-21,25,2,1.1972284913419915,0,12
2020-21,25,3,1.1189680374223658,0,74
2020-21,25,4,1.324078552631579,1,96
2020-21,25,5,0.9214609997360451,0,548
2020-21,25,6,1.4419734464285714,0,128
2020-21,25,7,1.279376553689209,1,156
2020-21,25,8,1.3715610320281681,1,516
2020-21,25,9,1.155602680098684,0,217
2020-21,25,11,1.1221860709298745,0,255
2020-21,25,12,0.7626658553691663,1,278
2020-21,25,13,1.0521577097039474,0,298
2020-21,25,14,1.3628362966522882,0,325
2020-21,25,15,1.5004458640202702,0,483
2020-21,25,17,1.2489671076220383,0,383
2020-21,25,18,1.6987362900926846,1,417
2020-21,25,19,1.2989061090254856,0,435
2020-21,25,20,1.0929908618421051,1,455
2020-21,26,1,1.1874663735683892,0,8
2020-21,26,10,1.5357076265819063,0,200
2020-21,26,19,1.2810017723883498,0,435
2020-21,27,1,1.1761131869804002,0,8
2020-21,27,2,1.1733114163715075,1,12
2020-21,27,3,1.0777610129523791,0,74
2020-21,27,4,1.3310027832817337,0,96
2020-21,27,5,0.9183637515039695,1,548
2020-21,27,6,1.4268240510204084,0,128
2020-21,27,7,1.2475331131423641,0,156
2020-21,27,8,1.3392993101505613,1,516
2020-21,27,9,1.1859915646616541,0,217
2020-21,27,10,1.5205002981465088,0,200
2020-21,27,11,1.1307803062507824,0,255
2020-21,27,13,1.0137992488721805,1,298
2020-21,27,15,1.4740855185328186,0,483
2020-21,27,17,1.2377168481259762,0,383
2020-21,27,18,1.6845540601505617,1,417
2020-21,27,19,1.298178014376928,1,435
2020-21,27,20,1.1610546736842102,1,455
2020-21,28,1,1.1713161311342195,0,8
2020-21,28,2,1.19753305118411,0,12
2020-21,28,3,1.075514204146032,0,74
2020-21,28,4,1.3598081037593983,0,96
2020-21,28,5,0.8985573725301242,1,548
2020-21,28,6,1.4444656884920635,1,128
2020-21,28,7,1.285425934741946,0,156
2020-21,28,8,1.3210433299552526,0,516
2020-21,28,9,1.1723075489766082,1,217
2020-21,28,10,1.5544616695502704,1,200
2020-21,28,11,1.1351678116426902,1,255
2020-21,28,12,0.8521279310123376,1,278
2020-21,28,13,1.0438412697368422,1,298
2020-21,28,15,1.4843191430180178,0,483
2020-21,28,16,1.344280277096065,0,376
2020-21,28,17,1.2170367953223769,0,383
2020-21,28,18,1.649945229955253,0,417
2020-21,28,19,1.2965407853947297,0,435
2020-21,28,20,1.1534021271929822,0,455
2020-21,29,1,1.1567554726218976,0,8
2020-21,29,2,1.1862378211502782,0,12
2020-21,29,3,1.0707265327550806,1,74
2020-21,29,8,1.3526074357262496,0,516
2020-21,29,10,1.5348826421381612,0,200
2020-21,29,17,1.2231817732300885,1,383
2020-21,29,19,1.303942319133765,0,435
2020-21,30,1,1.1897543883201374,0,8
2020-21,30,2,1.1971839094516594,0,12
2020-21,30,3,1.0429457376463878,0,74
2020-21,30,4,1.3653809064327485,0,96
2020-21,30,5,0.8796419899154149,0,548
2020-21,30,6,1.4181748861003862,0,128
2020-21,30,7,1.2674275626687526,0,156
2020-21,30,8,1.3506720183052237,0,516
2020-21,30,9,1.142944642247511,0,217
2020-21,30,10,1.5301499078515877,0,200
2020-21,30,12,0.8402586085525448,1,278
2020-21,30,13,1.0272785867709817,0,298
2020-21,30,15,1.5570734364499634,0,483
2020-21,30,16,1.3297818118909195,0,376
2020-21,30,17,1.2010401307103564,0,383
2020-21,30,18,1.635839588258147,0,417
2020-21,30,19,1.3022753375355551,0,435
2020-21,30,20,1.1484300697012801,0,455
2020-21,31,1,1.2182808169070256,1,8
2020-21,31,2,1.202612236223236,0,12
2020-21,31,3,1.0613221517852127,1,74
2020-21,31,5,0.8947606222930093,0,548
2020-21,31,6,1.4421152838345865,0,128
2020-21,31,7,1.2465935838963627,1,156
2020-21,31,8,1.3547698562018238,0,516
2020-21,31,9,1.1608431516620499,0,217
2020-21,31,10,1.5133744990202547,0,200
2020-21,31,11,1.1190378820485996,0,255
2020-21,31,12,0.825031645169583,0,278
2020-21,31,13,1.044390623961219,0,298
2020-21,31,15,1.576807688122333,0,483
2020-21,31,16,1.3312153748773308,0,376
2020-21,31,17,1.2672891535863997,0,383
2020-21,31,18,1.6587574874505222,1,417
2020-21,31,20,1.1568170678670358,1,455
2020-21,32,2,1.2233991510594668,0,12
2020-21,32,3,1.0401146454179535,1,74
2020-21,32,4,1.4361297467994307,0,81
2020-21,32,7,1.2416257604344907,0,156
2020-21,32,8,1.330018878004305,0,516
2020-21,32,9,1.1552019939271256,1,217
2020-21,32,10,1.5211350982426686,0,200
2020-21,32,11,1.1081750353634026,0,255
2020-21,32,12,0.8080053209344655,0,278
2020-21,32,13,1.0394529412955467,0,298
2020-21,32,15,1.5835667474012474,0,483
2020-21,32,16,1.3632213679259515,0,376
2020-21,32,18,1.6512744932149448,0,417
2020-21,32,20,1.1444259122807015,1,455
2020-21,33,1,1.1937028829106622,0,8
2020-21,33,2,1.228858865134865,0,12
2020-21,33,4,1.470975227146814,1,81
2020-21,33,5,0.8857522294215695,1,548
2020-21,33,6,1.4959432765567766,0,128
2020-21,33,9,1.1326869690789474,0,217
2020-21,33,10,1.5207004614906843,1,200
2020-21,33,11,1.1409906657835187,0,255
2020-21,33,13,1.0355113677631582,1,298
2020-21,33,15,1.5730008287162163,1,483
2020-21,33,18,1.672862110264958,0,417
2020-21,33,20,1.122612064473684,0,455
2020-21,34,2,1.2341429685064935,0,12
2020-21,34,3,1.0329679636182965,1,74
2020-21,34,4,1.4415422469635624,0,81
2020-21,34,5,0.8670375540774153,1,548
2020-21,34,6,1.4868915196428574,0,128
2020-21,34,8,1.3644950848177382,0,516
2020-21,34,9,1.121263823491656,0,217
2020-21,34,10,1.5083482852028651,0,200
2020-21,34,12,0.8062193879111039,1,278
2020-21,34,15,1.5808354426499671,0,483
2020-21,34,16,1.3609485696054564,0,376
2020-21,34,17,1.3040886789337365,1,383
2020-21,34,18,1.6918629973177386,0,417
2020-21,34,19,1.3477450192822449,0,431
2020-21,34,20,1.1454357702182283,0,455
2020-21,35,3,1.018611622834976,0,74
2020-21,35,4,1.4615188407894735,1,81
2020-21,35,8,1.3728313379763368,0,516
2020-21,35,10,1.5276570275357655,0,200
2020-21,35,12,0.7946640857669306,0,278
2020-21,35,15,1.5926528606821109,0,483
2020-21,35,17,1.2832985675305522,0,383
2020-21,35,18,1.669656594073898,0,417
2020-21,35,19,1.3553864938001887,0,431
2020-21,35,20,1.1415979423558895,0,455
2020-21,36,2,1.2294057536494514,0,12
2020-21,36,3,1.0192766838907503,0,74
2020-21,36,4,1.4433069178433886,0,81
2020-21,36,7,1.2180782697926436,0,156
2020-21,36,8,1.3766798171676904,0,516
2020-21,36,10,1.5143519358109103,1,200
2020-21,36,11,1.1382720899458687,0,255
2020-21,36,15,1.5938552941546196,1,483
2020-21,36,17,1.3079828566577487,1,383
2020-21,36,18,1.6494556981200716,0,417
2020-21,36,19,1.3507986524879891,0,431
2020-21,36,20,1.1209398506731945,0,455
2020-21,37,1,1.183854057417369,0,8
2020-21,37,2,1.243879463793782,0,12
2020-21,37,3,1.038547462797562,0,74
2020-21,37,4,1.449644872180451,0,81
2020-21,37,5,0.8623517560839593,0,548
2020-21,37,6,1.4733464833887044,0,128
2020-21,37,7,1.2196122668792577,1,156
2020-21,37,8,1.394861295932709,0,516
2020-21,37,9,1.156311282496013,0,217
2020-21,37,10,1.5108260482684814,1,200
2020-21,37,11,1.136228945681055,1,255
2020-21,37,12,0.799790940867718,0,278
2020-21,37,15,1.5870714692874692,0,483
2020-21,37,17,1.3010582462791633,0,383
2020-21,37,18,1.6567445517466628,0,417
2020-21,38,1,1.177473771544579,1,8
2020-21,38,2,1.2344648757094756,0,12
2020-21,38,3,1.0374827878007304,0,74
2020-21,38,4,1.4746758518971845,0,81
2020-21,38,6,1.4773305178571432,0,128
2020-21,38,7,1.1953486432210283,0,156
2020-21,38,9,1.189051520662768,0,217
2020-21,38,10,1.5040734020976219,0,200
2020-21,38,11,1.1279953818765471,1,255
2020-21,38,12,0.8078483143359105,1,278
2020-21,38,15,1.5907430810810812,1,483
2020-21,38,16,1.4084860345756367,0,376
2020-21,38,17,1.305895818584071,0,383
2020-21,38,18,1.6937085528178055,0,417
2020-21,38,19,1.302941097366684,1,435
2020-21,38,20,1.1676215131578944,0,455
2021-22,7,1,1.4062610373168012,1,16
2021-22,7,2,1.1335505784621942,0,168
2021-22,7,3,1.126111876190476,0,80
2021-22,7,4,1.2437544886861032,1,56
2021-22,7,5,1.5639804920634917,1,98
2021-22,7,6,0.8204598834586466,0,127
2021-22,7,7,1.338661637065637,0,146
2021-22,7,8,1.0270894298618742,0,169
2021-22,7,9,1.3301056077694235,0,200
2021-22,7,10,1.7518241887988497,1,184
2021-22,7,11,1.1659012760617762,0,229
2021-22,7,12,0.5755582878900907,0,256
2021-22,7,13,1.0460973202614379,0,270
2021-22,7,14,1.7315090570580125,0,292
2021-22,7,15,1.619259019047619,1,314
2021-22,7,16,1.4379274714285715,0,334
2021-22,7,17,1.505717635338346,0,353
2021-22,7,18,1.4626763458289604,0,387
2021-22,7,19,1.2889386408163264,0,408
2021-22,7,20,0.9279740637774619,0,439
2021-22,8,1,1.3741081917691549,0,16
2021-22,8,2,1.167689139898048,0,168
2021-22,8,3,1.1198677123809524,0,80
2021-22,8,4,1.168049728483592,1,56
2021-22,8,5,1.5013479259259257,0,98
2021-22,8,7,1.3133123945945946,0,146
2021-22,8,8,1.0229026678710829,0,169
2021-22,8,9,1.3138383005847953,0,200
2021-22,8,10,1.6468441095455932,0,184
2021-22,8,11,1.1520679243243246,1,229
2021-22,8,12,0.5953346686974179,1,256
2021-22,8,13,1.0573336989106752,0,270
2021-22,8,14,1.6870301865874784,0,292
2021-22,8,15,1.521060579047619,1,314
2021-22,8,16,1.5981145733333335,1,334
2021-22,8,17,1.4682698596491228,0,353
2021-22,8,18,1.446682928483592,0,387
2021-22,8,19,1.287204998095238,1,408
2021-22,8,20,0.9378737928589646,0,439
2021-22,9,2,1.22082188115442,0,168
2021-22,9,3,1.0652019375000001,0,80
2021-22,9,5,1.5379220555555553,0,98
2021-22,9,7,1.3363063699324325,0,146
2021-22,9,8,1.0756803136291402,0,169
2021-22,9,9,1.2905755317982457,0,200
2021-22,9,10,1.6505132901989936,0,184
2021-22,9,11,1.0974218665540543,1,229
2021-22,9,12,0.5901531894038293,0,256
2021-22,9,13,1.167237967728758,0,270
2021-22,9,14,1.6706142374257609,0,292
2021-22,9,15,1.4945751250000003,0,314
2021-22,9,16,1.5238516625000003,0,334
2021-22,9,17,1.4440471809210527,0,353
2021-22,9,18,1.5682074387967022,0,387
2021-22,9,19,1.2559247482142857,1,408
2021-22,9,20,0.9489638058052793,0,439
2021-22,10,4,1.131012105930503,0,59
2021-22,10,5,1.5245021699346404,0,98
2021-22,10,6,0.8209005855263158,1,127
2021-22,10,7,1.3048297011128775,1,146
2021-22,10,8,1.1801218245921319,0,169
2021-22,10,9,1.2777749122807018,0,200
2021-22,10,10,1.6020534495990528,0,184
2021-22,10,11,1.1061404038155804,0,229
2021-22,10,13,1.3174059696270666,1,270
2021-22,10,14,1.6944080469889513,0,292
2021-22,10,15,1.5930388771241832,0,314
2021-22,10,16,1.4647451529411766,1,334
2021-22,10,17,1.4530328173374614,0,353
2021-22,10,18,1.5878712421519887,0,387
2021-22,10,19,1.2183739394957982,0,408
2021-22,10,20,0.9857238760520276,0,439
2021-22,11,1,1.0198810451911027,1,67
2021-22,11,2,1.4629627015709326,0,44
2021-22,11,3,1.1308886138762713,0,76
2021-22,11,4,1.1395683222676973,0,59
2021-22,11,5,1.483514049382716,0,98
2021-22,11,6,0.8188866099071207,0,127
2021-22,11,7,1.2661212177177177,1,146
2021-22,11,8,1.2011274454481244,1,169
2021-22,11,9,1.2630785838206628,0,200
2021-22,11,10,1.5468330912879944,0,184
2021-22,11,11,1.1217744369369371,0,229
2021-22,11,12,0.6352331759436928,1,256
2021-22,11,13,1.303314582425563,0,270
2021-22,11,14,1.7220977666006765,0,292
2021-22,11,15,1.5622396133333334,0,314
2021-22,11,16,1.4268847555555557,1,334
2021-22,11,17,1.443162605263158,1,353
2021-22,11,19,1.1857790539682538,0,408
2021-22,11,20,1.017643660715804,0,439
2021-22,12,1,0.986458395473979,0,67
2021-22,12,2,1.4290578621489693,1,44
2021-22,12,3,1.1208169538068884,0,76
2021-22,12,4,1.09058277899045,0,59
2021-22,12,5,1.5508916257309941,0,98
2021-22,12,6,0.8077974649122807,1,127
2021-22,12,7,1.2117727325746799,0,146
2021-22,12,8,1.1766801062140126,0,169
2021-22,12,9,1.2969427636195754,0,200
2021-22,12,10,1.5038760864833631,0,184
