sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw
MINHL#1,1786292444-44749,half-life 8,3,false,2022-23,2021-22,26,13,5,false,763,703,10,1,58.69230769230769,54.07692307692308,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2023-24,2022-23,26,13,5,false,767,688,10,0,59,52.92307692307692,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2024-25,2023-24,26,13,5,false,730,688,6,0,56.15384615384615,52.92307692307692,,,,,,
MINHL#1,1786292444-44749,half-life 8,3,false,2025-26,2024-25,26,13,5,false,830,748,8,0,63.84615384615385,57.53846153846154,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,1,38,5,false,1957,1783,36,7,51.5,46.921052631578945,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,1,38,5,false,2199,1793,38,2,57.86842105263158,47.18421052631579,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,1,38,5,false,2496,2112,35,1,65.6842105263158,55.578947368421055,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,1,38,5,false,2153,1619,34,0,56.6578947368421,42.60526315789474,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,6,33,5,false,1738,1780,30,5,52.666666666666664,53.93939393939394,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,6,33,5,false,2017,1725,30,1,61.121212121212125,52.27272727272727,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,6,33,5,false,1969,1783,31,2,59.666666666666664,54.03030303030303,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,6,33,5,false,1923,1737,27,0,58.27272727272727,52.63636363636363,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,11,28,5,false,1651,1492,29,4,58.964285714285715,53.285714285714285,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,11,28,5,false,1627,1386,24,0,58.107142857142854,49.5,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,11,28,5,false,1793,1709,26,2,64.03571428571429,61.035714285714285,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,11,28,5,false,1595,1497,23,0,56.964285714285715,53.464285714285715,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,16,23,5,false,1428,1245,24,5,62.08695652173913,54.130434782608695,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,16,23,5,false,1397,1076,20,0,60.73913043478261,46.78260869565217,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,16,23,5,false,1434,1290,22,3,62.34782608695652,56.08695652173913,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,16,23,5,false,1364,1227,18,0,59.30434782608695,53.34782608695652,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,21,18,5,false,1064,1050,15,1,59.111111111111114,58.333333333333336,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,21,18,5,false,1184,1004,14,0,65.77777777777777,55.77777777777778,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,21,18,5,false,1082,992,13,1,60.111111111111114,55.111111111111114,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,21,18,5,false,1090,917,13,0,60.55555555555556,50.94444444444444,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2022-23,2021-22,26,13,5,false,766,677,9,1,58.92307692307692,52.07692307692308,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2023-24,2022-23,26,13,5,false,739,637,9,0,56.84615384615385,49,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2024-25,2023-24,26,13,5,false,703,667,10,1,54.07692307692308,51.30769230769231,,,,,,
MINHL#1,1786292444-44749,half-life 20,4,false,2025-26,2024-25,26,13,5,false,884,799,9,0,68,61.46153846153846,,,,,,
