sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2020-21,2019-20,11,28,5,false,1593,1389,26,0,56.892857142857146,49.607142857142854,,,,,,,1382,49.357142857142854,1218,43.5,0,0,0,0,,,,,,,,,,,1461.9856609388232,52.21377360495797,1651.8171998067094,58.99347142166819,1,55,8d58671b1668,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2021-22,2020-21,11,28,5,false,1514,1594,35,10,54.07142857142857,56.92857142857143,,,,,,,1622,57.92857142857143,1434,51.214285714285715,0,0,0,0,,,,,,,,,,,1592.1232439349712,56.861544426248976,1581.6524561582053,56.4875877199359,1,55,9682f20dd259,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2022-23,2021-22,11,28,5,false,1585,1594,29,3,56.607142857142854,56.92857142857143,,,,,,,1499,53.535714285714285,1410,50.357142857142854,0,0,0,0,,,,,,,,,,,1560.9258391729293,55.747351399033185,1617.3450559511714,57.76232342682755,1,55,f7bd9a94d8c1,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2023-24,2022-23,11,28,5,false,1670,1435,27,1,59.642857142857146,51.25,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,,,,,,,,,,,1419.3624448020569,50.691515885787744,1719.8263633206054,61.42237011859305,1,55,025d70cb5565,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2024-25,2023-24,11,28,5,false,1828,1689,25,1,65.28571428571429,60.32142857142857,,,,,,,1689,60.32142857142857,1420,50.714285714285715,0,0,0,0,,,,,,,,,,,1655.598731435165,59.12852612268447,1774.5550902759906,63.376967509856804,1,55,f9d9b9585356,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2025-26,2024-25,11,28,5,false,1562,1487,24,0,55.785714285714285,53.107142857142854,,,,,,,1459,52.107142857142854,1302,46.5,0,0,0,0,,,,,,,,,,,1487.7648169458666,53.134457748066666,1561.298879749846,55.760674276780215,1,55,b5c18c2f39b5,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2020-21,2019-20,16,23,5,false,1278,1210,25,4,55.56521739130435,52.608695652173914,,,,,,,1176,51.130434782608695,1063,46.21739130434783,0,0,0,0,,,,,,,,,,,1237.6883422299502,53.812536618693485,1339.330609374943,58.23176562499752,1,55,d0679a087631,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2021-22,2020-21,16,23,5,false,1259,1279,25,4,54.73913043478261,55.608695652173914,,,,,,,1284,55.82608695652174,1159,50.391304347826086,0,0,0,0,,,,,,,,,,,1290.130725096311,56.09264022157873,1367.9109860624292,59.474390698366484,1,55,5e14d3c43300,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2022-23,2021-22,16,23,5,false,1405,1115,22,3,61.08695652173913,48.47826086956522,,,,,,,1054,45.82608695652174,947,41.17391304347826,0,0,0,0,,,,,,,,,,,1115.5974183693063,48.50423558127419,1434.1746322191286,62.35541879213603,1,55,8dd068132d83,-,none
bandstrength#1,1786887667-1898223,band_strength 1 — the 3/14/3 adjustment at full strength,1,false,2023-24,2022-23,16,23,5,false,1414,1099,22,2,61.47826086956522,47.78260869565217,,,,,,,1084,47.130434782608695,933,40.56521739130435,0,0,0,0,,,,,,,,,,,1118.8634164175023,48.64623549641315,1412.4988705967337,61.41299437377103,1,55,36f167db5055,-,none
