"block","variant","variant_index","mean_all","early","late","contrast","se","df","t","p","gw1_vs_rest","gw1_t","gw1_p","gw1_df","n_seasons","byte_identical","gw1","gw6","gw11","gw16","gw21","gw26","p_holm"
"1786599454-530487 / MINK#1","BlendMinutesK 12",4,-0.839409816812564,-1.57456140350877,-1.25694444444444,0.317616959064329,0.864955035795322,3,0.367206323935997,0.737839436884703,0.928344411754021,0.964869581037428,0.405785141457949,3,4,FALSE,-0.0657894736842124,-3.08333333333334,-0.732142857142856,1.35869565217391,-2.01388888888889,-0.5,1
"1786598694-519032 / MINW#1","exponent 1.00",1,-0.305518775126899,0.152212918660285,-0.699786324786325,-0.85199924344661,0.397586562150795,3,-2.14292766545633,0.121516468658357,0.89556989857333,2.19258685746992,0.115973207081452,3,4,FALSE,0.440789473684209,-0.136363636363638,-0.205357142857142,-0.532608695652176,-0.611111111111111,-0.788461538461538,1
"1786598694-519032 / MINW#1","exponent 1.15",2,-0.0579317442875803,0.21182216905901,-0.0502136752136764,-0.262035844272686,0.240551308051542,3,-1.08931373682882,0.35569442692885,0.614254935250358,1.70570209064392,0.18660679752116,3,4,FALSE,0.453947368421051,-0.0303030303030312,-0.214285714285714,-0.456521739130435,-0.138888888888889,0.0384615384615365,1
"1786598694-519032 / MINW#1","exponent 1.50",3,-0.157299018783572,0.119218500797448,0.143162393162394,0.0239438923649464,1.97853656760348,3,0.0121018194745567,0.99110417916289,0.520337769908706,0.553131668101949,0.618722193869836,3,4,FALSE,0.276315789473683,-0.0378787878787872,-0.794642857142854,-0.673913043478263,-2.44444444444444,2.73076923076923,1
"1786598694-519032 / MINW#1","exponent 1.75",4,-0.396003984891285,0.556020733652311,-1.12660256410256,-1.68262329775488,2.02357962409659,3,-0.831508322043947,0.466683541031764,1.02783636081691,1.02142236011283,0.382238680673657,3,4,FALSE,0.460526315789471,0.65151515151515,-0.669642857142854,-0.565217391304349,-2.54166666666667,0.288461538461538,1
"1786598892-522374 / BENCH#1","bench weight 0.02",1,-0.265658395020524,-0.882974481658694,-0.232905982905984,0.65006849875271,2.38796964985367,3,0.272226449273568,0.803108889473934,-1.05489413650169,-0.603761770588112,0.588599694028327,3,4,FALSE,-1.14473684210527,-0.621212121212123,-0.133928571428571,0.771739130434781,-1.13888888888889,0.673076923076923,1
"1786598892-522374 / BENCH#1","bench weight 0.05",2,0.462055350785327,0.00777511961722333,0.992521367521367,0.984746247904144,1.83469043215458,3,0.536737005134812,0.628700714419227,-1.21762431567924,-0.774683928486363,0.494980802785081,3,4,FALSE,-0.552631578947372,0.568181818181818,0,0.771739130434781,-0.361111111111112,2.34615384615385,1
"1786598892-522374 / BENCH#1","bench weight 0.20",3,-0.478276109855058,-0.698564593301437,-1.49519230769231,-0.796627714390873,1.68511500302839,3,-0.472743826361536,0.668661927983569,0.479194489720806,0.32142571874967,0.768980223433935,3,4,FALSE,-0.0789473684210531,-1.31818181818182,0.267857142857144,1.25,-2.375,-0.615384615384617,1
"1786415470-97906 / TEAMFORM#1","club form, weight 0.25",1,-0.216432645136879,-0.0502392344497613,-0.0251068376068382,0.0251323968429231,0.443707298355312,3,0.0566418378423823,0.958391948082732,0.275508647848466,0.84744293461516,0.459002438054165,3,4,FALSE,0.0131578947368425,-0.113636363636365,-0.169642857142858,-0.978260869565219,-1.56944444444444,1.51923076923077,1
"1786415470-97906 / TEAMFORM#1","club form, weight 0.50",2,0.620084527621713,0.0093700159489627,2.00053418803419,1.99116417208523,2.31025185015337,3,0.861881864504528,0.45213798756551,-0.712522485777635,-0.638618783286202,0.568484162892914,3,4,FALSE,0.0263157894736832,-0.00757575757575779,0.776785714285714,-1.07608695652174,0.847222222222223,3.15384615384615,1
"1786415470-97906 / TEAMFORM#1","club form, weight 0.75",3,0.539810420531244,0.00608054226475208,1.4957264957265,1.48964595346174,1.70559104523944,3,0.873389877145269,0.446731890219246,-0.624088294111178,-0.67580827646594,0.54759464729818,3,4,FALSE,0.0197368421052619,-0.00757575757575779,0.517857142857142,-0.282608695652176,0.722222222222223,2.26923076923077,1
