element,GW,expected_goals,expected_assists
57,28,0.312809,0.010720
57,29,0.086869,0.121623
57,30,0.000000,0.281870
57,31,0.057981,0.084111
57,32,0.000000,0.066941
57,33,0.000000,0.053593
57,34,0.718395,0.140333
57,35,0.000000,0.053120
57,36,0.088616,0.000000
57,37,0.061836,0.182740
59,16,0.114074,0.000000
59,18,0.013226,0.000000
61,5,0.072172,0.000000
61,6,0.010141,0.000000
61,7,0.026423,0.000000
61,8,0.013320,0.061475
61,12,0.000000,0.044370
61,15,0.016146,0.000000
61,16,0.098834,0.000000
61,19,0.110079,0.000000
61,22,0.162136,0.000000
61,24,0.216281,0.089990
61,25,0.000000,0.215471
61,28,0.000000,0.241157
61,32,0.000000,0.010926
61,34,0.000000,0.135889
61,35,0.016729,0.000000
61,37,0.248273,0.000000
62,1,0.455807,0.000000
62,4,0.044021,0.000000
62,5,0.089220,0.009900
62,11,0.102003,0.000000
62,12,0.042343,0.000000
62,13,0.257825,0.000000
62,14,0.016286,0.076797
62,15,0.511589,0.000000
62,16,0.000000,0.094010
62,17,0.041422,0.000000
62,19,0.000000,0.097936
62,20,0.082388,0.000000
62,21,0.037784,0.076271
62,22,0.074504,0.000000
62,23,0.105056,0.000000
62,24,0.028705,0.031502
62,25,0.039264,0.053889
62,26,0.068165,0.000000
62,27,0.064507,0.000000
62,28,0.012049,0.000000
62,29,0.012281,0.000000
62,30,0.316818,0.000000
62,31,0.034846,0.000000
62,34,0.000000,0.238637
62,35,0.042977,0.000000
62,38,0.009020,0.000000
65,1,0.042834,0.249208
65,2,0.000000,0.025343
65,3,0.890487,0.019023
65,4,0.000000,0.092814
65,5,0.000000,0.195075
65,6,0.000000,0.044614
65,7,0.000000,0.013413
65,9,0.055699,0.000000
65,10,0.071476,0.000000
65,11,0.049806,0.024234
65,12,0.029515,0.128418
65,13,0.000000,0.064523
65,14,0.024444,0.107880
65,15,0.120227,0.000000
65,17,0.022182,0.122067
65,19,0.000000,0.024819
65,20,0.169628,0.082329
65,21,0.133465,0.137447
65,22,0.028865,0.041020
66,1,0.013311,0.035405
66,3,0.040555,0.000000
66,4,0.039000,0.000000
66,5,0.114828,0.021475
66,7,0.134654,0.000000
66,8,0.012049,0.000000
66,10,0.067545,0.000000
66,11,0.036857,0.000000
66,13,0.087694,0.050648
66,14,0.123459,0.000000
66,15,0.103959,0.000000
66,17,0.054061,0.075997
66,19,0.027896,0.000000
66,20,0.040682,0.000000
66,22,0.046106,0.000000
66,23,0.000000,0.023447
66,34,0.021435,0.000000
66,37,0.205397,0.000000
67,8,0.000000,0.111695
67,16,0.000000,0.063992
67,17,0.000000,0.069990
67,18,0.018771,0.000000
67,20,0.000000,0.178895
67,21,0.090070,0.020190
67,23,0.000000,0.090214
67,24,0.063520,0.304616
67,25,0.341376,0.480683
67,26,0.426013,0.000000
67,27,0.048003,0.000000
67,28,0.031445,0.057681
67,29,0.000000,0.018491
67,32,0.000000,0.066273
67,33,0.000000,0.046333
67,34,0.152737,0.000000
68,1,0.299930,0.000000
68,2,1.302008,0.073169
68,3,0.821968,0.329379
68,4,0.810139,0.000000
68,5,0.389095,0.059252
68,6,0.373608,0.000000
68,8,0.158932,0.000000
68,9,0.820645,0.000000
68,10,0.699300,0.253033
68,11,0.081533,0.044312
68,12,0.126032,0.000000
68,14,0.465862,0.065144
68,15,0.478190,0.000000
68,17,0.752210,0.000000
68,18,0.031278,0.000000
68,19,0.715337,0.072322
68,20,0.992345,0.543157
68,21,0.140422,0.145949
68,22,0.104888,0.073415
68,23,0.152115,0.040412
68,24,0.281472,0.121176
68,25,0.077493,0.562656
68,26,0.240773,0.110217
68,27,0.069510,0.310675
68,28,0.036302,0.000000
68,29,0.259777,0.109746
68,30,0.000000,0.375622
68,31,0.224926,0.055486
68,32,0.044387,0.058575
68,33,1.189208,0.021765
68,34,0.413173,0.070782
68,35,0.101145,0.000000
69,1,0.015167,0.413842
69,2,0.060225,0.587793
69,3,0.819022,0.121559
69,4,0.188064,0.086929
69,5,0.024138,0.092975
69,6,0.067913,0.000000
69,7,0.047408,0.023508
69,10,0.020990,0.000000
69,11,0.027239,0.075827
69,13,0.021837,0.134403
69,14,0.181447,0.432155
69,15,0.108735,0.158688
69,17,0.056486,0.547213
69,18,0.069045,0.044528
69,19,0.081289,0.000000
69,20,0.610501,0.106004
69,21,0.126680,0.102134
69,22,0.082517,0.512678
69,24,0.291385,0.146508
69,25,0.566117,0.014936
69,26,0.047025,0.029849
69,28,0.365703,0.000000
69,29,0.071722,0.159979
69,31,0.191613,0.058842
69,32,0.016137,0.000000
69,33,0.000000,0.065786
69,34,0.475023,0.416470
69,35,0.092449,0.000000
69,36,0.084894,0.019172
69,37,0.162030,0.060749
70,32,0.000000,0.049310
71,2,0.118029,0.042198
71,3,0.021382,0.630735
71,10,0.068995,0.000000
71,11,0.085229,0.000000
71,12,0.144340,0.316113
71,14,0.546718,0.497645
71,16,0.159536,0.000000
71,25,0.089468,0.000000
71,33,0.065223,0.995766
71,34,0.028131,0.000000
71,36,0.316631,0.078840
71,37,0.077282,0.000000
71,38,0.000000,0.082337
72,33,0.015441,0.000000
74,3,0.000000,0.051631
74,5,0.045404,0.000000
74,10,0.000000,0.102625
74,15,0.000000,0.041524
74,17,0.000000,0.014619
74,19,0.116630,0.000000
74,20,0.000000,0.496363
74,21,0.049799,0.009777
74,22,0.017898,0.000000
74,25,0.041206,0.000000
74,30,0.046129,0.000000
74,31,0.000000,0.054435
74,34,0.042202,0.000000
74,37,0.080999,0.000000
75,16,0.291848,0.141938
76,1,0.025757,0.000000
76,2,0.025503,0.000000
76,4,0.024353,0.000000
76,5,0.128487,0.015443
76,7,0.015076,0.000000
76,8,0.153330,0.000000
76,11,0.009817,0.000000
76,12,0.016578,0.067760
76,13,0.009054,0.019428
76,14,0.029803,0.029405
76,15,0.000000,0.032680
76,16,0.000000,0.087932
76,20,0.014503,0.047244
76,22,0.030803,0.000000
76,23,0.009729,0.101999
76,25,0.012669,0.000000
76,26,0.017370,0.014473
76,29,0.020466,0.000000
76,31,0.074322,0.155493
76,32,0.131961,0.016207
76,33,0.062455,0.263907
76,34,0.100704,0.000000
76,36,0.009806,0.014839
76,37,0.047591,0.016963
76,38,0.019161,0.000000
77,1,0.039795,0.280338
77,2,0.069918,0.000000
77,4,0.000000,0.045218
77,5,0.063418,0.126656
77,7,0.074524,0.000000
77,8,0.398209,0.030856
77,9,0.000000,0.111779
77,11,0.000000,0.066392
78,1,0.360839,0.000000
78,2,0.148382,0.013571
78,3,0.030000,0.033253
78,5,0.000000,0.042701
78,10,0.357363,0.018674
78,11,0.530263,0.000000
78,14,0.541932,0.014322
78,17,0.622580,0.000000
78,21,0.590382,0.000000
78,23,0.201470,0.000000
78,26,0.650284,0.000000
78,33,0.020319,0.000000
78,38,0.047474,0.008899
79,1,0.072910,0.072590
79,2,0.000000,0.062205
79,3,0.076569,0.507394
79,4,0.000000,0.009157
79,12,0.000000,0.008204
79,22,0.510640,0.025988
79,24,0.000000,0.046909
79,25,0.051591,0.000000
79,36,0.054535,0.021827
80,5,0.047996,0.000000
80,12,0.013210,0.000000
80,16,0.044646,0.016455
80,18,0.030370,0.061429
80,19,0.000000,0.636428
80,20,0.000000,0.304185
80,21,0.346058,0.162120
80,23,0.000000,0.045122
80,24,0.499475,0.026133
80,25,0.109459,0.000000
80,26,0.000000,0.055167
80,27,0.000000,0.048875
80,32,0.018217,0.000000
80,37,0.133723,0.173287
81,4,0.103602,0.062463
81,5,0.094284,0.069361
81,6,0.499514,0.000000
81,7,0.024315,0.000000
81,9,0.018876,0.023659
81,10,0.045300,0.000000
81,12,0.075027,0.000000
81,13,0.000000,0.038541
81,15,0.007209,0.046896
81,18,0.099903,0.000000
81,21,0.358956,0.000000
81,23,0.447604,0.033555
81,26,0.101786,0.038058
81,31,0.018504,0.168488
81,32,0.440911,0.063113
81,33,0.020067,0.000000
81,35,0.063434,0.227592
81,36,0.313284,0.000000
81,38,0.079507,0.000000
82,2,0.058260,0.000000
83,2,0.056841,0.000000
83,10,0.000000,0.023857
83,15,0.040015,0.000000
83,20,0.000000,0.093883
83,23,0.033672,0.000000
83,24,0.000000,0.070998
83,27,0.008353,0.000000
83,31,0.000000,0.108473
84,20,0.000000,0.006484
84,23,0.147126,0.000000
84,24,0.021721,0.000000
84,25,0.012440,0.000000
84,26,0.000000,0.066095
84,32,0.000000,0.017586
84,33,0.000000,0.019668
84,36,0.000000,0.014785
84,38,0.000000,0.145547
85,2,0.000000,0.014196
85,4,0.085437,0.000000
85,24,0.474985,0.000000
86,2,0.088376,0.321112
86,7,0.020766,0.021633
86,9,0.115009,0.252216
86,10,0.045811,0.000000
86,12,0.040722,0.000000
86,13,0.043319,0.039454
86,15,0.078115,0.000000
86,19,0.009171,0.000000
86,20,0.007288,0.000000
86,24,0.672716,0.355360
86,25,0.383110,0.000000
86,26,0.134839,0.000000
86,27,0.040404,0.000000
86,28,0.073205,0.000000
86,33,0.011242,0.000000
86,34,0.719604,0.000000
86,35,0.081925,0.000000
86,36,0.053901,0.000000
86,38,0.115533,0.000000
87,4,0.070207,0.082480
87,5,0.147744,0.032505
87,6,0.051390,0.012941
87,7,0.315831,0.018476
87,8,0.000000,0.030401
87,10,0.070413,0.006319
87,11,0.000000,0.046107
87,12,0.014881,0.090853
87,13,0.000000,0.047102
87,14,0.346313,0.000000
87,15,0.139147,0.000000
87,16,0.406306,0.000000
87,18,0.016600,0.085530
87,19,0.791439,0.090314
87,23,0.244429,0.006444
87,24,0.818541,0.071706
87,35,0.044467,0.000000
87,36,0.081472,0.033169
88,8,0.068391,0.000000
88,12,0.106277,0.000000
88,13,0.052942,0.000000
88,15,0.071336,0.006414
88,16,0.119762,0.000000
88,18,0.012871,0.194044
88,19,0.101315,0.000000
88,20,0.362810,0.000000
88,23,0.020605,0.000000
88,24,0.000000,0.085043
88,26,0.024226,0.000000
88,28,0.063591,0.000000
88,30,0.014563,0.000000
88,31,0.142660,0.000000
88,35,0.034660,0.049223
88,36,0.029762,0.323430
88,37,0.262016,0.000000
89,2,0.000000,0.057572
89,3,0.000000,0.042890
89,4,0.020134,0.000000
89,5,0.000000,0.273722
89,6,0.075587,0.533401
89,10,0.000000,0.118363
89,11,0.000000,0.017927
89,12,0.016274,0.169986
89,13,0.044346,0.019979
89,14,0.000000,0.378553
89,15,0.000000,1.030129
89,19,0.000000,0.128619
89,20,0.000000,0.338914
89,21,0.000000,0.319360
89,22,0.000000,0.034743
89,23,0.000000,0.499073
89,24,0.053085,0.115946
89,25,0.000000,0.055747
89,26,0.017766,0.074101
89,27,0.014401,0.000000
89,28,0.011903,0.125487
89,31,0.052209,0.117916
89,32,0.000000,0.374105
89,33,0.097447,0.017853
89,34,0.016331,0.056045
89,35,0.432299,0.000000
89,36,0.072441,0.275505
89,37,0.000000,0.016096
89,38,0.000000,0.148812
90,5,0.035145,0.083884
90,6,0.046268,0.000000
90,9,0.263496,0.043831
90,18,0.021105,0.000000
90,19,0.137950,0.000000
90,22,0.005889,0.000000
90,23,0.069294,0.062071
90,24,0.470999,0.000000
90,28,0.070325,0.074340
90,30,0.000000,0.353175
90,31,0.000000,0.076670
90,32,0.000000,0.016099
90,34,0.037347,0.000000
90,36,0.235005,0.026479
90,37,0.000000,0.047725
90,38,0.016099,0.000000
91,2,0.662496,0.000000
91,3,0.040790,0.000000
91,4,0.092706,0.000000
91,5,0.716598,0.000000
91,6,0.132842,0.036971
91,8,0.096485,0.000000
91,9,1.121278,0.102322
91,11,0.445498,0.090270
91,12,0.247788,0.013239
91,13,0.071015,0.000000
91,14,0.655160,0.034730
91,15,0.983498,0.076088
91,16,0.303156,0.361486
91,18,0.075171,0.014769
91,19,0.018199,0.079108
91,20,0.130438,0.000000
91,26,0.157099,0.000000
91,27,0.786612,0.000000
91,28,0.097796,0.000000
91,30,1.317507,0.045084
91,31,0.255926,0.506086
91,32,0.371519,0.045610
91,33,1.305279,0.082418
91,34,0.699300,0.000000
91,35,0.657217,0.112362
91,36,0.046132,0.000000
91,37,0.360307,0.065362
91,38,0.053402,0.000000
92,7,0.013320,0.264810
92,11,0.000000,0.053986
92,14,0.010659,0.000000
92,15,0.042555,0.000000
92,16,0.000000,0.042790
92,18,0.000000,0.023899
92,19,0.015575,0.014369
92,22,0.000000,0.005240
92,23,0.065256,0.042088
92,24,0.359610,0.093119
92,25,0.023491,0.259141
92,26,0.008199,0.721796
92,30,0.000000,0.012957
92,31,0.067630,0.019994
92,32,0.000000,0.217336
92,33,0.015169,0.045085
92,34,0.000000,0.156401
92,35,0.027902,0.016460
92,36,0.009089,0.041043
92,37,0.039297,0.235458
93,2,0.225059,0.235275
93,3,0.063830,0.014290
93,12,0.102117,0.000000
93,18,0.310373,0.000000
93,22,0.039050,0.000000
93,23,0.666494,0.559607
93,26,1.159505,0.012411
93,27,0.135373,0.321744
93,28,0.110282,0.094470
93,30,0.050674,0.061258
93,31,0.834357,0.000000
93,33,0.595100,0.014282
93,34,0.138445,0.000000
93,35,0.119425,0.384611
93,36,0.386443,0.033530
95,2,0.057772,0.000000
95,8,0.101313,0.000000
95,11,0.042724,0.026295
95,12,0.000000,0.256684
95,13,0.079370,0.000000
95,14,0.000000,0.110005
95,16,0.065452,0.333477
95,18,0.047827,0.000000
95,19,0.142017,0.016192
95,20,0.097580,0.000000
