sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2024-25,2023-24,21,18,5,false,1076,1047,15,1,59.77777777777778,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,0,0,0,0,1083.1214825517532,60.17341569731962,1103.7844286060745,61.32135714478191,,55,0f4f24f82c7f,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2025-26,2024-25,21,18,5,false,1067,950,15,1,59.27777777777778,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,0,0,0,0,939.2500791521638,52.180559952897994,1042.6865376201245,57.92702986778469,,55,0f8336277f6d,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2020-21,2019-20,26,13,5,false,698,638,11,0,53.69230769230769,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,0,0,0,0,670.4208553775125,51.57083502903942,747.6476262655054,57.51135586657734,,55,d47cf2db42a3,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2021-22,2020-21,26,13,5,false,748,636,15,4,57.53846153846154,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,0,0,0,0,683.4259804919013,52.571229268607794,819.4491885949728,63.03455296884407,,55,1283622164da,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2022-23,2021-22,26,13,5,false,922,812,11,0,70.92307692307692,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,0,0,0,0,799.82001186357,61.524616297197696,883.0228996565864,67.92483843512204,,55,485d7e3d0d70,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2023-24,2022-23,26,13,5,false,827,620,11,0,63.61538461538461,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,0,0,0,0,639.9664124973258,49.228185576717365,790.8227603061046,60.83252002354651,,55,72c93b86408c,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2024-25,2023-24,26,13,5,false,737,710,9,0,56.69230769230769,54.61538461538461,,,,,,,710,54.61538461538461,637,49,0,0,0,0,765.6749971066165,58.89807670050896,772.8959990335914,59.45353838719934,,55,ab53d0f632bd,-,none
CSXGC#1,1786823442-1464327,shipped f=1.0 flat=1.0 (baseline),0,true,2025-26,2024-25,26,13,5,false,767,761,9,0,59,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,0,0,0,0,708.4052335728627,54.492710274835595,739.7629298210003,56.904840755461564,,55,e2397dc452c0,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2020-21,2019-20,1,38,5,false,2152,1656,41,5,56.63157894736842,43.578947368421055,,,,,,,1662,43.73684210526316,1422,37.421052631578945,0,0,0,0,1641.9623289669503,43.20953497281448,2138.438523747811,56.274697993363446,,55,3f6463a88cbe,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2021-22,2020-21,1,38,5,false,2253,1883,43,8,59.28947368421053,49.55263157894737,,,,,,,1928,50.73684210526316,1633,42.973684210526315,0,0,0,0,1888.9612638784877,49.70950694417073,2296.6232306178895,60.43745343731288,,55,d38dfd3a9f75,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2022-23,2021-22,1,38,5,false,2059,1846,39,4,54.18421052631579,48.578947368421055,,,,,,,1849,48.6578947368421,1586,41.73684210526316,0,0,0,0,1867.9205422096195,49.15580374235841,2095.9417988173095,55.1563631267713,,55,51d3f5c8dc59,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2023-24,2022-23,1,38,5,false,2365,1809,38,4,62.23684210526316,47.60526315789474,,,,,,,1780,46.8421052631579,1569,41.28947368421053,0,0,0,0,1848.0006352101223,48.63159566342427,2348.560479600454,61.80422314738037,,55,7df5f95f1759,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2024-25,2023-24,1,38,5,false,2255,1828,36,2,59.3421052631579,48.10526315789474,,,,,,,1825,48.026315789473685,1643,43.23684210526316,0,0,0,0,1906.4479088178693,50.169681810996565,2277.957148953349,59.94624076193024,,55,5062709cbae7,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2025-26,2024-25,1,38,5,false,2183,1523,36,2,57.44736842105263,40.078947368421055,,,,,,,1529,40.23684210526316,1375,36.18421052631579,0,0,0,0,1583.8646329653097,41.680648235929205,2120.0868902565912,55.7917602699103,,55,cdb305de770a,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2020-21,2019-20,6,33,5,false,1876,1611,36,7,56.84848484848485,48.81818181818182,,,,,,,1610,48.78787878787879,1424,43.15151515151515,0,0,0,0,1695.301034777738,51.37275862962843,1918.1644138754448,58.12619435986196,,55,978ae9b47040,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2021-22,2020-21,6,33,5,false,1891,1579,39,8,57.303030303030305,47.84848484848485,,,,,,,1602,48.54545454545455,1357,41.121212121212125,0,0,0,0,1696.7269527249339,51.415968264391935,1950.7015340415146,59.112167698227715,,55,f9ab0649ed9b,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2022-23,2021-22,6,33,5,false,1908,1557,33,5,57.81818181818182,47.18181818181818,,,,,,,1508,45.696969696969695,1378,41.75757575757576,0,0,0,0,1546.6671449169307,46.868701361119115,1882.475628438208,57.044716013279036,,55,a69a01325955,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2023-24,2022-23,6,33,5,false,2054,1658,30,0,62.24242424242424,50.24242424242424,,,,,,,1635,49.54545454545455,1417,42.93939393939394,0,0,0,0,1653.5979719784832,50.10902945389343,2064.1346312923615,62.549534281586716,,55,e4d98525659c,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2024-25,2023-24,6,33,5,false,1954,1762,33,4,59.21212121212121,53.39393939393939,,,,,,,1659,50.27272727272727,1503,45.54545454545455,0,0,0,0,1774.8051976947927,53.781975687720994,1991.1489497598438,60.33784696241951,,55,5f44285da178,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2025-26,2024-25,6,33,5,false,1856,1742,33,3,56.24242424242424,52.78787878787879,,,,,,,1660,50.303030303030305,1519,46.03030303030303,0,0,0,0,1683.786208877141,51.023824511428515,1817.9439148953327,55.08920954228281,,55,0dc2d2b17e58,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2020-21,2019-20,11,28,5,false,1616,1374,26,0,57.714285714285715,49.07142857142857,,,,,,,1372,49,1197,42.75,0,0,0,0,1479.9708096461027,52.856100344503666,1690.1516382354273,60.36255850840812,,55,e646846b2675,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2021-22,2020-21,11,28,5,false,1683,1648,31,5,60.107142857142854,58.857142857142854,,,,,,,1676,59.857142857142854,1488,53.142857142857146,0,0,0,0,1632.2379498397625,58.29421249427723,1715.5481094203371,61.26957533644061,,55,e3079b53df62,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2022-23,2021-22,11,28,5,false,1664,1515,27,2,59.42857142857143,54.107142857142854,,,,,,,1417,50.607142857142854,1331,47.535714285714285,0,0,0,0,1463.6943755683728,52.27479912744189,1647.0594529642299,58.82355189157964,,55,941b3f3ae3d9,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2023-24,2022-23,11,28,5,false,1724,1420,27,1,61.57142857142857,50.714285714285715,,,,,,,1415,50.535714285714285,1257,44.892857142857146,0,0,0,0,1407.225169215091,50.25804175768182,1756.6210995797935,62.73646784213548,,55,025d70cb5565,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2024-25,2023-24,11,28,5,false,1808,1704,27,2,64.57142857142857,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,1656.4013083792024,59.15718958497151,1732.6617554564689,61.88077698058817,,55,d7639030dcde,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2025-26,2024-25,11,28,5,false,1567,1489,22,0,55.964285714285715,53.17857142857143,,,,,,,1461,52.17857142857143,1304,46.57142857142857,0,0,0,0,1489.4444416753352,53.19444434554769,1578.8763792431946,56.388442115828376,,55,b5c18c2f39b5,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2020-21,2019-20,16,23,5,false,1319,1199,21,0,57.34782608695652,52.130434782608695,,,,,,,1165,50.65217391304348,1052,45.73913043478261,0,0,0,0,1237.36948985034,53.79867347175391,1365.9245545013514,59.38802410875441,,55,622ca390c425,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2021-22,2020-21,16,23,5,false,1323,1309,23,2,57.52173913043478,56.91304347826087,,,,,,,1314,57.130434782608695,1189,51.69565217391305,0,0,0,0,1319.4462993308398,57.36723040568869,1423.772877598839,61.903168591253866,,55,0eef3ed62bd0,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2022-23,2021-22,16,23,5,false,1393,1106,23,2,60.56521739130435,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,1120.5017860161925,48.71746895722576,1390.9555904431802,60.4763300192687,,55,f8a4e38b18ca,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2023-24,2022-23,16,23,5,false,1456,1073,22,1,63.30434782608695,46.65217391304348,,,,,,,1084,47.130434782608695,933,40.56521739130435,0,0,0,0,1092.5958624965822,47.504167934634005,1442.3183076957725,62.70949163894663,,55,36f167db5055,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2024-25,2023-24,16,23,5,false,1416,1344,20,1,61.56521739130435,58.43478260869565,,,,,,,1344,58.43478260869565,1151,50.04347826086956,0,0,0,0,1341.3636474300463,58.32015858391505,1416.4697448580428,61.58564108078447,,55,c83eb4914263,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2025-26,2024-25,16,23,5,false,1346,1288,22,1,58.52173913043478,56,,,,,,,1289,56.04347826086956,1127,49,0,0,0,0,1210.7845477335868,52.642806423199424,1295.723295956614,56.33579547637452,,55,334a04b1176a,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2020-21,2019-20,21,18,5,false,1083,942,18,2,60.166666666666664,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,0,0,0,0,965.0577004029183,53.614316689051016,1090.680856857968,60.59338093655377,,55,3828563d2a28,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2021-22,2020-21,21,18,5,false,1091,944,19,3,60.611111111111114,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,0,0,0,0,1001.6196502423109,55.64553612457283,1112.6695250722148,61.814973615123044,,55,2614de13199f,-,none
CSXGC#1,1786823442-1464327,factor only f=1.1731 flat=1.0,1,false,2022-23,2021-22,21,18,5,false,1121,1126,15,1,62.27777777777778,62.55555555555556,,,,,,,1116,62,977,54.27777777777778,0,0,0,0,1103.1498647545423,61.28610359747457,1138.1521888471739,63.23067715817633,,55,23b569794194,-,none
