sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,oracle,oracle_kind
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2024-25,2023-24,1,38,5,false,2341,1908,37,3,61.60526315789474,50.21052631578947,,,,,,,1890,49.73684210526316,1708,44.94736842105263,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2025-26,2024-25,1,38,5,false,2126,1556,36,2,55.94736842105263,40.94736842105263,,,,,,,1571,41.3421052631579,1417,37.28947368421053,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2020-21,2019-20,6,33,5,false,1816,1634,36,5,55.03030303030303,49.515151515151516,,,,,,,1633,49.484848484848484,1447,43.84848484848485,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2021-22,2020-21,6,33,5,false,1891,1579,39,8,57.303030303030305,47.84848484848485,,,,,,,1602,48.54545454545455,1357,41.121212121212125,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2022-23,2021-22,6,33,5,false,1820,1563,31,1,55.15151515151515,47.36363636363637,,,,,,,1512,45.81818181818182,1384,41.93939393939394,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2023-24,2022-23,6,33,5,false,2092,1680,33,2,63.39393939393939,50.90909090909091,,,,,,,1653,50.09090909090909,1435,43.484848484848484,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2024-25,2023-24,6,33,5,false,2023,1809,32,2,61.303030303030305,54.81818181818182,,,,,,,1706,51.696969696969695,1550,46.96969696969697,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2025-26,2024-25,6,33,5,false,1857,1699,30,2,56.27272727272727,51.484848484848484,,,,,,,1617,49,1476,44.72727272727273,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2020-21,2019-20,11,28,5,false,1656,1396,24,1,59.142857142857146,49.857142857142854,,,,,,,1394,49.785714285714285,1219,43.535714285714285,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2021-22,2020-21,11,28,5,false,1576,1513,32,6,56.285714285714285,54.035714285714285,,,,,,,1520,54.285714285714285,1332,47.57142857142857,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2022-23,2021-22,11,28,5,false,1578,1548,30,4,56.357142857142854,55.285714285714285,,,,,,,1450,51.785714285714285,1364,48.714285714285715,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2023-24,2022-23,11,28,5,false,1700,1380,27,1,60.714285714285715,49.285714285714285,,,,,,,1389,49.607142857142854,1231,43.964285714285715,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2024-25,2023-24,11,28,5,false,1790,1704,26,1,63.92857142857143,60.857142857142854,,,,,,,1704,60.857142857142854,1435,51.25,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2025-26,2024-25,11,28,5,false,1523,1486,26,2,54.392857142857146,53.07142857142857,,,,,,,1458,52.07142857142857,1301,46.464285714285715,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2020-21,2019-20,16,23,5,false,1311,1191,20,0,57,51.78260869565217,,,,,,,1151,50.04347826086956,1044,45.391304347826086,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2021-22,2020-21,16,23,5,false,1259,1293,22,3,54.73913043478261,56.21739130434783,,,,,,,1298,56.43478260869565,1173,51,0,0,0,0,-,none
benchshape#1,1786645791-625124,fixed 2.4/1.0/0.4/0.2 (the shipped tuple),1,false,2022-23,2021-22,16,23,5,false,1361,1106,23,2,59.17391304347826,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,0,0,0,0,-,none
