sweep,arm,season,start_gw,gw,n_moves,hit_net,out_played,wildcard_after,in_ids,hit,hold_net,hold_out_played,hold_weeks,out_was_captain
HITTUNE,"mgh3, flat (shipped)",2022-23,1,8,2,4,true,false,468|376,false,-7,true,8,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,13,1,-1,true,false,306,false,-14,true,7,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,25,1,8,true,false,357,false,12,true,14,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,6,2,23,true,false,318|19,false,47,true,11,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,17,1,-11,true,false,160,false,-12,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,20,2,44,true,false,318|377,true,59,false,10,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,28,1,15,false,false,377,false,13,false,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,1,33,2,10,true,false,307|104,true,-9,true,6,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,3,1,13,true,false,326,false,-16,true,17,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,9,1,2,true,false,373,false,-19,true,12,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,14,2,-10,true,false,291|43,false,-20,true,17,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,28,1,11,false,false,321,false,-8,true,11,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,32,1,-22,true,false,293,false,-20,true,3,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,15,1,11,true,false,5,false,89,true,24,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,17,2,43,false,false,290|60,false,85,true,15,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,20,2,10,true,false,343|263,false,19,true,19,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,21,1,19,true,false,353,false,31,true,12,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,24,2,-4,true,false,19|265,false,61,true,15,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,37,1,6,true,false,516,false,6,true,2,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,5,1,16,true,false,168,false,-40,true,22,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,18,1,20,false,false,526,false,22,false,6,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,25,1,19,true,false,526,false,19,true,8,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,29,1,3,true,false,275,false,-41,true,10,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,30,1,22,true,false,14,false,45,true,9,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,34,1,13,true,false,350,false,-1,true,5,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,2,2,30,false,false,352|135,false,20,false,6,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,2,1,34,false,false,355,true,135,false,15,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,11,2,9,false,false,29|178,false,0,false,4,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,26,1,12,true,false,85,false,16,true,10,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,35,1,29,true,false,211,false,29,true,4,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,22,1,-4,true,false,342,false,-31,true,17,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,27,1,6,true,false,328,false,-21,true,12,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,4,1,1,true,false,165,false,1,true,4,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,7,1,0,true,false,19,false,-11,true,2,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,8,2,21,true,false,664|101,false,55,true,22,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,13,1,4,true,false,20,false,4,true,11,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,31,1,56,true,false,362,false,79,true,8,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,33,1,-11,true,false,308,false,-11,true,6,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,33,1,21,true,false,373,true,22,true,4,false
HITTUNE,"mgh3, flat (shipped)",2023-24,1,36,1,16,true,false,415,false,16,true,3,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,14,2,-4,true,false,514|617,false,-12,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,18,1,10,true,false,573,false,3,true,6,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,20,2,8,true,false,311|231,false,-4,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,26,2,25,true,false,366|3,false,10,true,10,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,33,1,16,false,false,339,false,17,false,6,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,36,2,-12,true,false,182|536,false,-14,true,3,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,15,1,5,true,false,18,false,5,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,28,2,-12,true,false,18|447,false,-19,true,11,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,6,1,12,true,false,99,false,31,true,33,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,6,1,-4,true,false,306,false,-6,true,6,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,13,2,-2,true,false,15|495,false,-28,true,23,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,16,2,45,true,false,328|247,true,360,true,23,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,17,1,31,true,false,401,false,27,true,11,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,21,1,7,true,false,398,false,-7,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,23,1,2,true,false,236,false,-20,true,16,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,29,2,21,true,false,350|585,true,57,true,10,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,30,2,39,false,false,401|78,true,44,false,9,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,3,2,9,true,false,350|566,false,59,true,17,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,12,2,-44,true,false,82|455,false,-42,true,6,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,22,1,17,false,false,129,false,0,true,17,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,24,2,1,true,false,327|580,true,-23,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,31,1,22,true,false,110,false,22,true,8,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,32,1,-11,true,false,650,false,-25,true,7,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,9,2,3,true,false,311|230,false,1,true,4,false
HITTUNE,"mgh3, flat (shipped)",2024-25,1,11,2,12,false,false,91|78,false,-1,false,3,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,35,1,-5,true,false,417,false,-6,true,4,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,2,2,6,true,false,82|531,false,43,false,11,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,7,1,9,true,false,8,false,-3,true,12,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,11,2,1,true,false,430|267,true,141,true,18,true
HITTUNE,"mgh3, flat (shipped)",2025-26,1,13,2,-5,true,false,387|237,false,-26,true,21,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,21,1,-4,true,false,488,false,-2,true,3,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,23,1,9,true,false,82,false,7,true,16,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,25,2,35,false,false,8|449,true,172,false,14,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,26,1,25,true,false,624,false,42,true,13,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,6,1,-12,true,false,200,false,-14,true,7,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,15,1,22,true,false,21,false,37,true,14,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,16,1,16,false,false,411,false,17,false,6,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,20,1,1,true,false,450,false,-2,true,3,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,29,2,20,false,false,691|249,false,13,false,10,true
HITTUNE,"mgh3, flat (shipped)",2025-26,1,29,1,7,true,false,235,false,4,true,10,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,31,1,18,false,false,5,false,36,false,8,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,32,2,-26,true,false,8|267,false,-28,false,3,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,33,1,29,false,false,260,false,10,false,6,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,5,1,-1,true,false,373,false,0,true,4,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,8,1,31,false,false,283,false,46,true,18,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,9,1,4,true,false,5,false,4,true,5,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,10,1,20,false,false,714,false,1,false,1,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,14,1,33,true,false,403,false,-12,true,11,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,3,1,19,true,false,477,false,-25,true,16,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,4,1,14,true,false,449,false,55,true,16,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,19,2,1,true,false,16|694,false,-26,true,20,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,19,1,28,true,false,684,false,59,true,20,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,22,1,11,true,false,373,false,15,true,17,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,24,1,10,true,false,515,false,29,true,8,false
HITTUNE,"mgh3, flat (shipped)",2025-26,1,34,1,-9,true,false,21,false,-9,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,15,2,-1,true,false,308|506,false,-23,true,13,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,17,1,33,false,false,277,false,45,true,14,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,21,2,5,true,false,390|556,false,14,true,9,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,22,1,9,true,false,254,false,4,true,6,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,25,2,-12,true,false,271|211,false,-26,true,14,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,28,2,30,true,false,388|570,true,32,true,6,true
HITTUNE,"mgh3, flat (shipped)",2020-21,6,34,1,0,true,false,524,false,-5,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,8,1,18,true,false,202,false,74,true,31,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,11,2,-18,true,false,254|468,true,20,true,5,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,18,1,-1,true,false,572,false,-51,true,21,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,23,1,8,true,false,273,false,3,true,2,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,27,1,-12,true,false,12,false,-25,true,12,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,29,1,-7,true,false,435,false,-7,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,30,1,-7,true,false,254,false,28,true,9,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,33,2,18,true,false,259|224,false,25,true,6,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,7,2,-17,true,false,141|498,false,-27,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,13,2,9,false,false,37|417,true,-6,false,14,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,31,1,9,true,false,102,false,1,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,31,1,13,true,false,120,true,9,true,8,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,35,1,16,true,false,155,false,16,true,4,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,36,2,7,true,false,388|390,true,11,true,3,true
HITTUNE,"mgh3, flat (shipped)",2020-21,6,9,1,0,false,false,457,false,0,false,1,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,10,2,6,false,false,255|272,true,73,true,12,true
HITTUNE,"mgh3, flat (shipped)",2020-21,6,16,2,29,false,false,325|302,true,121,false,20,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,19,1,10,true,false,96,false,34,true,20,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,26,1,15,false,false,557,false,18,true,13,false
HITTUNE,"mgh3, flat (shipped)",2020-21,6,12,1,-16,true,false,494,false,-16,true,5,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,10,1,-1,true,false,76,false,11,true,29,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,15,1,21,false,false,590,false,7,true,9,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,22,2,21,false,false,468|196,false,17,false,17,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,33,1,7,true,false,505,false,3,true,6,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,11,1,29,false,false,475,false,29,false,5,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,27,1,9,true,false,22,false,20,true,12,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,27,1,3,true,false,475,true,-34,true,12,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,32,2,33,true,false,138|256,true,28,true,7,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,34,1,-12,true,false,265,false,-15,false,1,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,35,1,-2,true,false,681,false,-11,true,2,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,36,1,16,true,false,44,false,6,true,3,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,37,1,4,true,false,154,false,4,true,2,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,38,1,6,true,false,359,false,6,false,1,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,24,1,20,false,false,429,false,18,false,5,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,13,2,41,true,false,237|420,false,154,true,19,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,13,1,1,true,false,413,false,8,true,13,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,13,1,-14,true,false,142,false,-29,true,8,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,14,1,19,false,false,21,false,7,false,3,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,16,1,14,true,false,257,false,20,true,23,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,19,1,2,true,false,138,false,-2,true,3,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,21,2,19,false,false,450|91,false,34,false,18,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,26,2,51,true,false,357|67,true,98,true,13,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,28,1,0,true,false,23,false,26,true,11,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,7,1,6,true,false,154,false,2,false,2,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,9,1,5,true,false,261,false,26,true,10,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,17,1,-4,true,false,422,false,-9,true,14,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,23,1,3,true,false,277,false,5,false,2,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,25,1,-21,true,false,240,false,-23,true,2,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,29,1,3,true,false,584,false,15,true,10,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,30,1,14,true,false,341,false,0,true,4,false
HITTUNE,"mgh3, flat (shipped)",2021-22,6,31,1,-13,true,false,123,false,-4,true,2,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,16,1,-18,true,false,160,false,-18,true,7,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,24,2,10,true,false,152|427,false,43,true,15,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,25,1,13,true,false,407,false,14,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,31,2,10,false,false,335|295,false,6,false,8,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,10,1,-10,true,false,146,false,-7,true,3,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,11,2,15,true,false,427|373,false,17,true,9,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,13,1,3,true,false,312,false,3,true,6,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,17,1,6,true,false,104,false,21,true,22,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,19,2,12,true,false,7|558,false,1,true,14,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,26,1,4,true,false,81,false,8,true,7,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,35,1,-7,true,false,335,false,-14,true,4,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,35,1,18,true,false,116,false,18,false,4,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,20,2,8,true,false,318|66,true,-84,true,19,false
HITTUNE,"mgh3, flat (shipped)",2022-23,6,21,1,33,false,false,285,false,101,false,18,false
