sweep,run_id,variant,variant_index,is_baseline,season,prior_season,start_gw,weeks,bank_up_to,infeasible,policy_points,hold_points,moves,hits,policy_per_gw,hold_per_gw,frozen_points,frozen_per_gw,frozen_captain_points,frozen_captain_per_gw,weekly_points,weekly_per_gw,hold_fixedcap_points,hold_fixedcap_per_gw,hold_nocap_points,hold_nocap_per_gw,decision_weeks,consulted_weeks,weighed_weeks,banked_weeks,free_at_decision,band_ready_weeks,band_moves,band_run_moves,band_worse_moves,band_exposure,ftv_weeks,ftv_priced_weeks,ftv_gate_calls,ftv_flips,ftv_mean_charge,ftv_mean_load,wc_trig_offered,wc_trig_weeks,wc_trig_weighed,wc_trig_gw,wc_trig_value,wc_trig_bar,bb_trig_offered,bb_trig_weeks,bb_trig_weighed,bb_trig_gw,bb_trig_value,bb_trig_bar,fh_trig_offered,fh_trig_weeks,fh_trig_weighed,fh_trig_gw,fh_trig_value,fh_trig_bar,prep_weeks,prep_credit_weeks,prep_bench_sum,prep_captain_sum,dose_act_doubles,dose_act_blanks,dose_late_doubles,dose_late_blanks,bench_boost_gw,bench_boost_pts,triple_captain_gw,triple_captain_pts,bench_boost_oracle_gw,bench_boost_oracle_pts,bench_boost_median_pts,bench_boost_threshold_pts,bench_boost_bar_pts,triple_captain_oracle_gw,triple_captain_oracle_pts,triple_captain_median_pts,triple_captain_threshold_pts,triple_captain_bar_pts,hold_xpoints,hold_xpoints_per_gw,policy_xpoints,policy_xpoints_per_gw,setting,min_expected_minutes,squad_hash,oracle,oracle_kind
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,16,23,5,false,1364,1106,25,3,59.30434782608695,48.08695652173913,,,,,,,1045,45.43478260869565,938,40.78260869565217,22,0,,,1.3181818181818181,22,25,10,6,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,42,14,36,14,0,0,0,0,,,,,,,,,,,1120.5017860161925,48.71746895722576,1384.227109381085,60.183787364395,,55,f8a4e38b18ca,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,16,23,5,false,1436,1077,25,3,62.43478260869565,46.82608695652174,,,,,,,1060,46.08695652173913,933,40.56521739130435,22,0,,,1.4545454545454546,22,25,9,6,7,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,21,21,17,0,0,0,0,,,,,,,,,,,1097.4323663170342,47.71445070943627,1460.057899071733,63.480778220510125,,55,36f167db5055,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,16,23,5,false,1407,1336,22,2,61.17391304347826,58.08695652173913,,,,,,,1336,58.08695652173913,1143,49.69565217391305,22,0,,,1.8181818181818181,22,22,11,6,12,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,10,8,0,0,0,0,,,,,,,,,,,1341.1098827586973,58.30912533733466,1407.9519358103028,61.215301556969685,,55,35d18512b286,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,16,23,5,false,1341,1288,23,3,58.30434782608695,56,,,,,,,1289,56.04347826086956,1127,49,22,0,,,1.9090909090909092,22,23,6,6,-2,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,1210.7845477335868,52.642806423199424,1266.091066249738,55.04743766303209,,55,334a04b1176a,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,21,18,5,false,1032,942,20,3,57.333333333333336,52.333333333333336,,,,,,,963,53.5,845,46.94444444444444,17,0,,,1.0588235294117647,17,20,6,5,0,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,32,23,26,23,0,0,0,0,,,,,,,,,,,965.0577004029183,53.614316689051016,1059.9818712453077,58.88788173585043,,55,3828563d2a28,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,21,18,5,false,1074,944,22,4,59.666666666666664,52.44444444444444,,,,,,,962,53.44444444444444,855,47.5,17,0,,,1.0588235294117647,17,22,11,6,6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,59,25,51,19,0,0,0,0,,,,,,,,,,,1001.6196502423109,55.64553612457283,1100.801903054479,61.15566128080439,,55,2614de13199f,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,21,18,5,false,1161,1181,17,0,64.5,65.61111111111111,,,,,,,1171,65.05555555555556,1032,57.333333333333336,17,0,,,1.411764705882353,17,17,8,1,9,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,36,14,28,10,0,0,0,0,,,,,,,,,,,1158.6929566977274,64.37183092765152,1150.5127460536116,63.917374780756205,,55,31d9909a9a64,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,21,18,5,false,1179,909,18,1,65.5,50.5,,,,,,,905,50.27777777777778,796,44.22222222222222,17,0,,,1.411764705882353,17,18,8,3,11,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,21,17,17,17,0,0,0,0,,,,,,,,,,,983.9104970154252,54.661694278634734,1162.1936578713633,64.56631432618684,,55,5879fc9506cd,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,21,18,5,false,1081,1047,15,1,60.05555555555556,58.166666666666664,,,,,,,1047,58.166666666666664,912,50.666666666666664,17,0,,,1.8823529411764706,17,15,7,2,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,8,6,8,0,0,0,0,,,,,,,,,,,1083.1214825517532,60.17341569731962,1089.8314755081706,60.54619308378725,,55,0f4f24f82c7f,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,21,18,5,false,1038,950,18,2,57.666666666666664,52.77777777777778,,,,,,,927,51.5,841,46.72222222222222,17,0,,,2.411764705882353,17,18,8,5,5,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,10,10,10,10,0,0,0,0,,,,,,,,,,,939.2500791521638,52.180559952897994,1007.0571536677978,55.94761964821099,,55,0f8336277f6d,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2020-21,2019-20,26,13,5,false,673,638,14,2,51.76923076923077,49.07692307692308,,,,,,,646,49.69230769230769,579,44.53846153846154,12,0,,,1.25,12,14,7,7,-1,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,12,23,10,11,0,0,0,0,,,,,,,,,,,670.4208553775125,51.57083502903942,736.2299798230067,56.633075371000515,,55,d47cf2db42a3,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2021-22,2020-21,26,13,5,false,765,636,13,1,58.84615384615385,48.92307692307692,,,,,,,634,48.76923076923077,578,44.46153846153846,12,0,,,1.25,12,13,5,0,8,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,19,28,4,0,0,0,0,,,,,,,,,,,683.4259804919013,52.571229268607794,832.5018192374898,64.03860147980691,,55,1283622164da,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2022-23,2021-22,26,13,5,false,826,812,12,2,63.53846153846154,62.46153846153846,,,,,,,808,62.15384615384615,696,53.53846153846154,12,0,,,1.5833333333333333,12,12,5,2,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,28,10,12,4,0,0,0,0,,,,,,,,,,,799.3800118635701,61.49077014335155,875.366312463554,67.33587018950415,,55,485d7e3d0d70,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2023-24,2022-23,26,13,5,false,818,620,13,1,62.92307692307692,47.69230769230769,,,,,,,621,47.76923076923077,550,42.30769230769231,12,0,,,1.3333333333333333,12,13,4,2,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,17,13,15,1,0,0,0,0,,,,,,,,,,,639.9664124973258,49.228185576717365,784.8133532618486,60.37025794321913,,55,72c93b86408c,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2024-25,2023-24,26,13,5,false,732,710,9,0,56.30769230769231,54.61538461538461,,,,,,,710,54.61538461538461,637,49,12,0,,,2.5,12,9,5,2,3,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,6,8,6,4,0,0,0,0,,,,,,,,,,,765.6749971066165,58.89807670050896,766.3847098439727,58.9526699879979,,55,ab53d0f632bd,-,none
TAPERX#1,1787063721-2753083,"flat, levers off",0,true,2025-26,2024-25,26,13,5,false,789,761,9,0,60.69230769230769,58.53846153846154,,,,,,,762,58.61538461538461,660,50.76923076923077,12,0,,,1.8333333333333333,12,9,2,3,-6,0,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,8,10,8,10,0,0,0,0,,,,,,,,,,,708.4052335728627,54.492710274835595,733.2601579824064,56.40462753710819,,55,e2397dc452c0,-,none
TAPERX#1,1787063721-2753083,"taper, levers off",1,false,2020-21,2019-20,1,38,5,false,2172,1711,44,6,57.1578947368421,45.026315789473685,,,,,,,1711,45.026315789473685,1471,38.71052631578947,37,0,,,1.4594594594594594,33,39,17,11,7,37,37,85,9,2.01546336791568,1.0174174174174173,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,,,,43,40,43,40,0,0,0,0,,,,,,,,,,,1726.4583824322613,45.43311532716477,2205.6280508713253,58.04284344398224,,55,2aadee614ec1,-,none
